hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
GCF_057368585.1|NZ_CM170655.1|NZ_CM170655.1_1081	clust_rep_seq	668	210	Septu__PtuB	4.7000000000000005e-26	91.9	0.757	0.838	19	194
GCF_057368585.1|NZ_CM170655.1|NZ_CM170655.1_1082	clust_rep_seq	669	408	Paris_II__AriA_AAA21	7e-30	104.2	0.904	0.877	1	358
GCF_057368585.1|NZ_CM170655.1|NZ_CM170655.1_1082	clust_rep_seq	669	408	Septu__PtuA	1.7e-89	301.2	0.915	0.998	1	407
GCF_057368615.1|NZ_CM170656.1|NZ_CM170656.1_1299	clust_rep_seq	674	267	PD_DExK_I_II_III_IV_V_VI_5	2.4e-17	62.2	0.858	0.419	16	127
GCF_057368615.1|NZ_CM170657.1|NZ_CM170657.1_1002	clust_rep_seq	682	609	NLR_like_bNACHT01__NLR_like_bNACHT01	3.7e-112	375.5	0.881	0.872	3	533
GCF_057368635.1|NZ_CM170659.1|NZ_CM170659.1_917	clust_rep_seq	698	155	VP1817__VP1817	4.3e-36	123.7	0.993	0.981	1	152
GCF_059941805.1|NZ_CM188133.1|NZ_CM188133.1_1127	clust_rep_seq	711	273	SEFIR__bSEFIR	3.1e-69	234.1	0.41	0.623	102	271
GCF_059941805.1|NZ_CM188133.1|NZ_CM188133.1_1290	clust_rep_seq	723	338	CBASS__Endonuc_small	9.8e-14	51.1	0.469	0.331	14	125
GCF_059941805.1|NZ_CM188133.1|NZ_CM188133.1_1290	clust_rep_seq	723	338	PD_DExK_I_II_III_IV_V_VI_5	4.3e-32	109.8	0.976	0.364	2	124
GCF_059983175.1|NZ_CM188256.1|NZ_CM188256.1_1292	clust_rep_seq	731	566	Lamassu__LmuA_Protease_II	3.4e-10	39.2	0.449	0.329	375	560
GCF_059983175.1|NZ_CM188256.1|NZ_CM188256.1_1292	clust_rep_seq	731	566	RT_I_II_III_IV_V_VI_1	3.3e-12	45.5	0.579	0.283	59	218
GCF_059983175.1|NZ_CM188256.1|NZ_CM188256.1_1292	clust_rep_seq	731	566	Retron__RT_Tot_8	2.8e-32	111.6	0.779	0.539	25	329
GCF_059983175.1|NZ_CM188256.1|NZ_CM188256.1_1292	clust_rep_seq	731	566	Retron__RT_Tot_12	1.1000000000000002e-34	119.8	0.846	0.496	27	307
GCF_059983175.1|NZ_CM188256.1|NZ_CM188256.1_1292	clust_rep_seq	731	566	Retron__RT_Tot_9	2.5e-38	131.6	0.775	0.542	29	335
GCF_059983175.1|NZ_CM188256.1|NZ_CM188256.1_1292	clust_rep_seq	731	566	Retron__RT_Tot_1	5.9e-41	140.1	0.814	0.449	55	308
GCF_059983175.1|NZ_CM188256.1|NZ_CM188256.1_1292	clust_rep_seq	731	566	Retron__RT_Tot_11	2.2e-45	154.7	0.812	0.505	60	345
GCF_059983175.1|NZ_CM188256.1|NZ_CM188256.1_1292	clust_rep_seq	731	566	Retron__RT_Tot_13	3.4e-52	176.9	0.72	0.442	27	276
GCF_059983175.1|NZ_CM188256.1|NZ_CM188256.1_1292	clust_rep_seq	731	566	Retron__RT_Tot_4	1.1999999999999999e-54	185.2	0.804	0.447	55	307
GCF_059983175.1|NZ_CM188256.1|NZ_CM188256.1_1292	clust_rep_seq	731	566	Retron__RT_Tot_10	2.6e-61	207.2	0.868	0.534	27	328
GCF_059983175.1|NZ_CM188256.1|NZ_CM188256.1_1292	clust_rep_seq	731	566	Retron__RT_Tot_14	7.8e-66	221.7	0.892	0.484	31	304
GCF_059983175.1|NZ_CM188256.1|NZ_CM188256.1_1292	clust_rep_seq	731	566	Retron__RT_Tot_6	2.8999999999999997e-67	226.4	0.803	0.489	26	302
GCF_059983175.1|NZ_CM188256.1|NZ_CM188256.1_1292	clust_rep_seq	731	566	Retron__RT_Tot_5	1.1999999999999998e-67	228.0	0.513	0.473	30	297
GCF_059983175.1|NZ_CM188256.1|NZ_CM188256.1_1292	clust_rep_seq	731	566	Retron__RT_Tot_7	2.8e-83	279.5	0.799	0.602	29	369
GCF_059983175.1|NZ_CM188256.1|NZ_CM188256.1_1292	clust_rep_seq	731	566	Retron__RT_Tot_15	5.7e-87	292.6	0.474	0.572	26	349
GCF_059983175.1|NZ_CM188256.1|NZ_CM188256.1_1292	clust_rep_seq	731	566	Retron_I_C__RT_1_C2	4.7e-90	302.2	0.494	0.493	27	305
GCF_059983175.1|NZ_CM188256.1|NZ_CM188256.1_1292	clust_rep_seq	731	566	Retron_I_C__RT_1_C1	1.8e-99	333.1	0.548	0.574	25	349
GCF_059983175.1|NZ_CM188256.1|NZ_CM188256.1_1292	clust_rep_seq	731	566	Retron_I_C__RT_1_C3	2.6e-112	375.8	0.559	0.587	30	361
GCF_059983175.1|NZ_CM188256.1|NZ_CM188256.1_1292	clust_rep_seq	731	566	Retron_XII__RT_12	9.300000000000002e-128	426.5	0.616	0.638	25	385
GCF_059983175.1|NZ_CM188256.1|NZ_CM188256.1_1292	clust_rep_seq	731	566	Retron_XI__RT_11	3.8e-208	692.1	0.983	0.954	24	563
GCF_059983175.1|NZ_CM188257.1|NZ_CM188257.1_2043	clust_rep_seq	740	189	FS_HsdR_like__HP	2.5e-14	53.2	0.989	0.984	1	186
GCF_964264695.1|NZ_OZ183474.1|NZ_OZ183474.1_462	clust_rep_seq	792	192	FS_HsdR_like__HP	6.1e-20	71.5	0.931	0.906	9	182
GCF_964264695.1|NZ_OZ183474.1|NZ_OZ183474.1_463	clust_rep_seq	793	353	FS_HsdR_like__DUF6731	2.4000000000000003e-128	427.8	0.967	0.986	5	352
GCF_002257545.1|NZ_CP022742.1|NZ_CP022742.1_674	clust_rep_seq	817	374	CapRel__CapRel	9.000000000000001e-159	528.1	0.995	0.992	1	371
GCF_002287545.1|NZ_CP023055.1|NZ_CP023055.1_366	clust_rep_seq	829	120	CBASS__Cyclase_SMODS	7.3e-08	32.3	0.445	0.567	5	72
GCF_002287545.1|NZ_CP023055.1|NZ_CP023055.1_372	clust_rep_seq	833	185	CBASS__Cyclase_II	9.3e-05	21.2	0.467	0.735	30	165
GCF_002287545.1|NZ_CP023055.1|NZ_CP023055.1_374	clust_rep_seq	834	309	CBASS__Effector_4TM_S_4TM	3.7e-68	229.6	0.99	0.964	3	300
GCF_002291265.1|NZ_CP023209.1|NZ_CP023209.1_412	clust_rep_seq	837	261	Clover__CloA	6.5e-57	192.8	0.512	0.935	14	257
GCF_002863725.1|NZ_CP019121.1|NZ_CP019121.1_1620	clust_rep_seq	882	305	Lit__Lit	2.8999999999999996e-47	160.8	0.933	0.875	39	305
GCF_002863725.1|NZ_CP019121.1|NZ_CP019121.1_1644	clust_rep_seq	893	525	GAPS1__GAPS1	1.3999999999999999e-171	571.1	0.992	0.989	3	521
GCF_002863725.1|NZ_CP019121.1|NZ_CP019121.1_1645	clust_rep_seq	894	267	AbiAlpha__AbiAlpha	1.8e-47	161.3	1.0	0.708	77	265
GCF_000770115.1|NZ_CP009467.1|NZ_CP009467.1_2072	clust_rep_seq	911	425	AbiL__AbiLi2	9.8e-21	74.0	0.607	0.635	1	270
GCF_000770115.1|NZ_CP009467.1|NZ_CP009467.1_2073	clust_rep_seq	912	220	AbiL__AbiLii2	2.4e-10	39.8	0.444	0.591	50	179
GCF_000770115.1|NZ_CP009467.1|NZ_CP009467.1_2106	clust_rep_seq	927	456	Shedu__SduA	2.3e-33	115.8	0.61	0.594	177	447
GCF_000770115.1|NZ_CP009467.1|NZ_CP009467.1_2118	clust_rep_seq	932	274	RM_Type_IV__Type_IV_05	3e-24	85.9	0.531	0.599	95	258
GCF_000770115.1|NZ_CP009467.1|NZ_CP009467.1_2123	clust_rep_seq	933	361	Hailong__HalA	1.6999999999999998e-44	152.0	0.829	0.884	18	336
GCF_000772065.1|NZ_CP009617.1|NZ_CP009617.1_1096	clust_rep_seq	938	190	Aristaios__Aristaios	9.999999999999999e-42	143.0	0.561	0.979	1	186
GCF_000772065.1|NZ_CP009617.1|NZ_CP009617.1_1115	clust_rep_seq	947	440	Clover__CloA	3e-37	127.9	0.784	0.841	13	382
GCF_000772065.1|NZ_CP009617.1|NZ_CP009617.1_1115	clust_rep_seq	947	440	dGTPase__Sp_dGTPase	1.2e-142	475.4	0.987	0.991	2	437
GCF_000772065.1|NZ_CP009617.1|NZ_CP009617.1_1121	clust_rep_seq	951	322	Aristaios__Aristaios	1.3e-43	149.3	0.607	0.984	3	319
GCF_000829215.1|NZ_AP014525.1|NZ_AP014525.1_254	clust_rep_seq	969	204	Kiwa__KwaA	6.6e-44	149.3	0.937	0.99	2	203
GCF_000829215.1|NZ_AP014525.1|NZ_AP014525.1_255	clust_rep_seq	970	319	Kiwa__KwaB	8.3e-52	176.1	0.94	0.95	16	318
GCF_000829215.1|NZ_AP014525.1|NZ_AP014525.1_296	clust_rep_seq	986	299	MMB_gp29_gp30__gp29	5.2e-10	38.2	0.942	0.973	3	293
GCF_002953975.1|NZ_CP014045.1|NZ_CP014045.1_1265	clust_rep_seq	1033	380	Dnd__DndB	2.1e-26	92.1	0.57	0.75	5	289
GCF_003047125.1|NZ_CP017635.1|NZ_CP017635.1_623	clust_rep_seq	1041	430	Paris_II__AriA_AAA21	2.8e-19	69.3	0.821	0.886	19	399
GCF_003047125.1|NZ_CP017635.1|NZ_CP017635.1_755	clust_rep_seq	1050	330	RT_I_II_III_IV_V_VI_1	4e-31	107.6	0.522	0.506	17	183
GCF_003063885.1|NZ_CP028893.1|NZ_CP028893.1_313	clust_rep_seq	1058	601	gcu142__gcu142	2.4e-96	322.9	0.994	0.948	9	578
GCF_003063885.1|NZ_CP028893.1|NZ_CP028893.1_324	clust_rep_seq	1061	151	MqsRAC__mqsC	1.4e-26	93.2	0.939	0.96	3	147
GCF_003085735.1|NZ_CP020034.1|NZ_CP020034.1_1134	clust_rep_seq	1082	324	WYL_I_II_III_IV_V_VI_4	0.00016	21.3	0.436	0.235	126	201
GCF_003085735.1|NZ_CP020034.1|NZ_CP020034.1_1134	clust_rep_seq	1082	324	WYL_I_II_III_IV_V_VI_1	1.8e-09	37.1	0.422	0.448	119	263
GCF_009762915.1|NZ_CP046738.1|NZ_CP046738.1_847	clust_rep_seq	1133	607	Gabija__GajA	3.2e-31	108.3	0.753	0.807	3	492
GCF_009762915.1|NZ_CP046738.1|NZ_CP046738.1_853	clust_rep_seq	1135	268	VcaM4I__VcaM4I	7.7999999999999995e-59	199.5	0.55	0.705	79	267
GCF_009762915.1|NZ_CP046738.1|NZ_CP046738.1_909	clust_rep_seq	1145	282	CBASS__Effector_TIR	8.800000000000001e-30	103.3	0.424	0.514	2	146
GCF_009762965.1|NZ_CP046741.1|NZ_CP046741.1_395	clust_rep_seq	1156	405	Retron_IX__HEPN	2.9e-06	27.0	0.872	0.247	158	257
GCF_009762965.1|NZ_CP046741.1|NZ_CP046741.1_424	clust_rep_seq	1164	390	RM_Type_II__Type_II_REase09	5.7e-07	29.7	0.543	0.646	32	283
GCF_009762965.1|NZ_CP046741.1|NZ_CP046741.1_424	clust_rep_seq	1164	390	Menshen__NsnA	3.4e-54	184.0	0.896	0.949	17	386
GCF_009762965.1|NZ_CP046741.1|NZ_CP046741.1_430	clust_rep_seq	1167	244	RM_Type_IV__Type_IV_05	6e-21	75.1	0.461	0.668	74	236
GCF_009762965.1|NZ_CP046741.1|NZ_CP046741.1_430	clust_rep_seq	1167	244	EcoKMcrA__EcoKMcrA	5.3000000000000005e-34	117.7	0.44	0.713	67	240
GCF_009763225.1|NZ_CP046798.1|NZ_CP046798.1_1145	clust_rep_seq	1197	207	VP1840__VP1840	6.899999999999999e-22	77.7	0.682	0.932	8	200
GCF_002119525.1|NZ_CP017916.1|NZ_CP017916.1_1359	clust_rep_seq	1210	435	RM_Type_IV__Type_IV_03	2.6000000000000002e-30	105.9	0.923	0.607	157	420
GCF_000011805.1|NC_006841.2|NC_006841.2_661	clust_rep_seq	1262	389	Dazbog__DzbA	7.199999999999999e-137	456.2	0.98	0.982	5	386
GCF_000011805.1|NC_006841.2|NC_006841.2_662	clust_rep_seq	1263	341	Dazbog__DzbB	7.4e-49	166.4	0.933	0.977	8	340
GCF_004319645.1|NZ_CP027030.1|NZ_CP027030.1_1373	clust_rep_seq	1307	177	VP1839__VP1839	2.2e-31	108.3	0.882	0.944	2	168
GCF_009601765.2|NZ_CP045700.1|NZ_CP045700.1_861	clust_rep_seq	1357	254	Aristaios__Aristaios	4.7e-56	190.1	0.595	0.988	2	252
GCF_009665195.1|NZ_CP035683.1|NZ_CP035683.1_146	clust_rep_seq	1370	422	AbiL__AbiLi	6.3e-05	21.7	0.553	0.637	1	269
GCF_009665195.1|NZ_CP035683.1|NZ_CP035683.1_146	clust_rep_seq	1370	422	AbiL__AbiLi2	2.2e-08	33.3	0.549	0.64	1	270
GCF_009763705.1|NZ_CP046801.1|NZ_CP046801.1_529	clust_rep_seq	1405	280	Aristaios__Aristaios	2.4e-26	92.5	0.592	0.936	12	273
GCF_009763705.1|NZ_CP046801.1|NZ_CP046801.1_532	clust_rep_seq	1407	347	PD-T2-1__PD-T2-1B	1e-46	159.1	1.0	1.0	1	347
GCF_013357845.1|NZ_CP053817.1|NZ_CP053817.1_304	clust_rep_seq	1436	182	RM_Type_II__Type_II_REase08	2.8e-09	37.7	0.798	0.885	22	182
GCF_013393845.1|NZ_CP040100.1|NZ_CP040100.1_1611	clust_rep_seq	1448	281	Aristaios__Aristaios	4.4e-52	177.1	0.601	0.989	2	279
GCF_013393885.1|NZ_CP040103.1|NZ_CP040103.1_1951	clust_rep_seq	1455	552	dCTPdeaminase__dCTPdeaminase	7.1e-107	357.7	0.923	0.996	1	550
GCF_024347495.1|NZ_AP025491.1|NZ_AP025491.1_929	clust_rep_seq	1526	242	Esos__VCA0450	7.7e-36	123.8	0.441	0.607	2	148
GCF_024971935.1|NZ_CP080098.1|NZ_CP080098.1_2679	clust_rep_seq	1567	182	PfiAT__PfiA	1.8e-05	24.2	0.902	0.434	1	79
GCF_024971935.1|NZ_CP080098.1|NZ_CP080098.1_2681	clust_rep_seq	1569	136	AbiH__AbiH	5.9e-14	52.2	0.483	0.809	14	123
GCF_025917705.1|NZ_CP097355.1|NZ_CP097355.1_1697	clust_rep_seq	1599	252	PD_DExK_I_II_III_IV_V_VI_5	7.2e-37	125.3	0.961	0.484	17	138
GCF_025917705.1|NZ_CP097355.1|NZ_CP097355.1_1697	clust_rep_seq	1599	252	CBASS__Endonuc_small	9.8e-85	283.6	0.971	0.929	17	250
GCF_030580635.1|NZ_CP129422.1|NZ_CP129422.1_456	clust_rep_seq	1621	204	AbiJ__AbiJ	7e-10	38.3	0.566	0.838	31	201
GCF_030704285.1|NZ_CP131931.1|NZ_CP131931.1_1432	clust_rep_seq	1632	127	CmdTAC__CmdC	1.3e-44	151.1	0.969	0.984	1	125
GCF_030704285.1|NZ_CP131931.1|NZ_CP131931.1_1434	clust_rep_seq	1634	185	CmdTAC__CmdT	0.00029	20.0	0.529	0.595	4	113
GCF_030994145.1|NZ_CP099919.1|NZ_CP099919.1_1133	clust_rep_seq	1636	222	AbiG__AbiGi	1.6e-24	86.3	0.809	0.941	1	209
GCF_030994165.1|NZ_CP099921.1|NZ_CP099921.1_1256	clust_rep_seq	1642	256	SEFIR__bSEFIR	2.3e-77	260.9	0.432	0.691	5	181
GCF_031884875.1|NZ_CP134781.1|NZ_CP134781.1_618	clust_rep_seq	1664	255	Retron_VII_2__DUF3800	9.6e-10	38.6	0.972	0.69	5	180
GCF_032841475.3|NZ_CP184806.1|NZ_CP184806.1_376	clust_rep_seq	1690	327	Epona__VCA0366	1.5e-117	391.8	0.984	0.939	20	326
GCF_045348105.1|NZ_CP150831.1|NZ_CP150831.1_906	clust_rep_seq	1703	305	AbiT__AbiTii	5.3e-13	48.7	0.774	0.587	3	181
GCF_045348105.1|NZ_CP150831.1|NZ_CP150831.1_915	clust_rep_seq	1705	328	Rugutis__Rugutis	7.6e-52	176.3	0.782	0.933	10	315
GCF_045689275.1|NZ_CP137092.1|NZ_CP137092.1_759	clust_rep_seq	1722	200	Thoeris__ThsB_acc	7.4e-70	234.2	0.847	0.95	2	191
GCF_046118645.1|NZ_CP176035.1|NZ_CP176035.1_2575	clust_rep_seq	1729	120	Toutatis__TutA_VCA0446	1.1e-17	63.9	0.572	0.683	38	119
GCF_046118655.1|NZ_CP176031.1|NZ_CP176031.1_2029	clust_rep_seq	1738	535	Paris_II_merge__AAA_21_DUF4435	4.8e-134	447.5	0.949	0.991	3	532
GCF_046532655.1|NZ_CP151937.1|NZ_CP151937.1_1431	clust_rep_seq	1744	240	AbiA_small__AbiA_SLATT	1.4e-10	40.7	0.846	0.758	28	209
GCF_046532655.1|NZ_CP151937.1|NZ_CP151937.1_1431	clust_rep_seq	1744	240	DRT9__SLATT	8.1e-17	60.7	0.889	0.783	23	210
GCF_046532655.1|NZ_CP151937.1|NZ_CP151937.1_1431	clust_rep_seq	1744	240	AbiA_small__SLATT	2.3000000000000002e-20	72.6	0.963	0.792	21	210
GCF_046532655.1|NZ_CP151937.1|NZ_CP151937.1_1431	clust_rep_seq	1744	240	DRT_3__SLATT	3.1999999999999996e-41	140.3	0.93	0.8	20	211
GCF_046532655.1|NZ_CP151937.1|NZ_CP151937.1_1451	clust_rep_seq	1747	276	Aristaios__Aristaios	2.4e-42	145.1	0.607	0.978	6	275
GCF_046532655.1|NZ_CP151937.1|NZ_CP151937.1_1506	clust_rep_seq	1756	320	Retron_II__NDT	3.7e-89	298.7	0.988	0.975	2	313
GCF_046532655.1|NZ_CP151937.1|NZ_CP151937.1_1507	clust_rep_seq	1757	310	RT_I_II_III_IV_V_VI_1	3.7e-15	55.1	0.764	0.726	26	250
GCF_046532655.1|NZ_CP151937.1|NZ_CP151937.1_1507	clust_rep_seq	1757	310	Retron__RT_Tot_11	3.8e-29	101.3	0.663	0.758	27	261
GCF_046532655.1|NZ_CP151937.1|NZ_CP151937.1_1507	clust_rep_seq	1757	310	Retron__RT_Tot_3	7.4e-35	120.2	0.704	0.79	22	266
GCF_046532655.1|NZ_CP151937.1|NZ_CP151937.1_1507	clust_rep_seq	1757	310	Retron__RT_Tot_13	1.6e-35	122.1	0.804	0.881	14	286
GCF_046532655.1|NZ_CP151937.1|NZ_CP151937.1_1507	clust_rep_seq	1757	310	Retron__RT_Tot_10	7.7e-40	136.6	0.852	0.929	9	296
GCF_046532655.1|NZ_CP151937.1|NZ_CP151937.1_1507	clust_rep_seq	1757	310	Retron__RT_Tot_14	2e-42	144.9	0.85	0.835	4	262
GCF_046532655.1|NZ_CP151937.1|NZ_CP151937.1_1507	clust_rep_seq	1757	310	Retron__RT_Tot_2	8.699999999999999e-45	152.7	0.864	0.858	43	308
GCF_046532655.1|NZ_CP151937.1|NZ_CP151937.1_1507	clust_rep_seq	1757	310	Retron__RT_Tot_5	9.2e-55	185.5	0.536	0.887	7	281
GCF_046532655.1|NZ_CP151937.1|NZ_CP151937.1_1507	clust_rep_seq	1757	310	Retron__RT_Tot_7	6.699999999999999e-60	202.5	0.772	0.955	4	299
GCF_046532655.1|NZ_CP151937.1|NZ_CP151937.1_1507	clust_rep_seq	1757	310	Retron__RT_Tot_6	2.1e-62	210.4	0.877	0.968	2	301
GCF_046532655.1|NZ_CP151937.1|NZ_CP151937.1_1507	clust_rep_seq	1757	310	Retron__RT_Tot_1	7.2e-119	396.1	0.994	0.997	1	309
GCF_046532655.1|NZ_CP151937.1|NZ_CP151937.1_1507	clust_rep_seq	1757	310	Retron__RT_Tot_4	5.600000000000001e-122	406.3	0.987	0.997	1	309
GCF_049384865.1|NZ_JAIWIW010000001.1|NZ_JAIWIW010000001.1_1299	clust_rep_seq	1787	212	gcuWGS21__gcuWGS21	1.6000000000000002e-76	255.8	0.991	0.991	1	210
GCF_049384865.1|NZ_JAIWIW010000001.1|NZ_JAIWIW010000001.1_1319	clust_rep_seq	1792	218	AbiA_small__AbiA_SLATT	3.8e-06	26.2	0.75	0.697	15	166
