sys_id	type	subtype	activity	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
clust_rep_seq_PD-T4-7_358	PD-T4-7	PD-T4-7	Defense	GCF_057368475.1|NZ_CM170643.1|NZ_CM170643.1_888	GCF_057368475.1|NZ_CM170643.1|NZ_CM170643.1_888	GCF_057368475.1|NZ_CM170643.1|NZ_CM170643.1_888	1	PD-T4-7__PD-T4-7
clust_rep_seq_Dag_222	Dag	Dag	Defense	GCF_057368475.1|NZ_CM170643.1|NZ_CM170643.1_889	GCF_057368475.1|NZ_CM170643.1|NZ_CM170643.1_889	GCF_057368475.1|NZ_CM170643.1|NZ_CM170643.1_889	1	Dag__Dag12
clust_rep_seq_DRT_2_192	DRT	DRT_2	Defense	GCF_057368475.1|NZ_CM170643.1|NZ_CM170643.1_907	GCF_057368475.1|NZ_CM170643.1|NZ_CM170643.1_907	GCF_057368475.1|NZ_CM170643.1|NZ_CM170643.1_907	1	DRT_2__drt2
clust_rep_seq_Septu_433	Septu	Septu	Defense	GCF_057368585.1|NZ_CM170655.1|NZ_CM170655.1_1081	GCF_057368585.1|NZ_CM170655.1|NZ_CM170655.1_1082	GCF_057368585.1|NZ_CM170655.1|NZ_CM170655.1_1081,GCF_057368585.1|NZ_CM170655.1|NZ_CM170655.1_1082	2	Septu__PtuA,Septu__PtuB
clust_rep_seq_NLR_like_bNACHT01_317	NLR	NLR_like_bNACHT01	Defense	GCF_057368615.1|NZ_CM170657.1|NZ_CM170657.1_1002	GCF_057368615.1|NZ_CM170657.1|NZ_CM170657.1_1002	GCF_057368615.1|NZ_CM170657.1|NZ_CM170657.1_1002	1	NLR_like_bNACHT01__NLR_like_bNACHT01
clust_rep_seq_VP1817_488	VP1817	VP1817	Defense	GCF_057368635.1|NZ_CM170659.1|NZ_CM170659.1_917	GCF_057368635.1|NZ_CM170659.1|NZ_CM170659.1_917	GCF_057368635.1|NZ_CM170659.1|NZ_CM170659.1_917	1	VP1817__VP1817
clust_rep_seq_SEFIR_421	SEFIR	SEFIR	Defense	GCF_059941805.1|NZ_CM188133.1|NZ_CM188133.1_1127	GCF_059941805.1|NZ_CM188133.1|NZ_CM188133.1_1127	GCF_059941805.1|NZ_CM188133.1|NZ_CM188133.1_1127	1	SEFIR__bSEFIR
clust_rep_seq_Retron_XI_399	Retron	Retron_XI	Defense	GCF_059983175.1|NZ_CM188256.1|NZ_CM188256.1_1292	GCF_059983175.1|NZ_CM188256.1|NZ_CM188256.1_1292	GCF_059983175.1|NZ_CM188256.1|NZ_CM188256.1_1292	1	Retron_XI__RT_11
clust_rep_seq_FS_HsdR_like_281	FS_HsdR_like	FS_HsdR_like	Defense	GCF_964264695.1|NZ_OZ183474.1|NZ_OZ183474.1_462	GCF_964264695.1|NZ_OZ183474.1|NZ_OZ183474.1_463	GCF_964264695.1|NZ_OZ183474.1|NZ_OZ183474.1_462,GCF_964264695.1|NZ_OZ183474.1|NZ_OZ183474.1_463	2	FS_HsdR_like__DUF6731,FS_HsdR_like__HP
clust_rep_seq_CapRel_174	CapRel	CapRel	Defense	GCF_002257545.1|NZ_CP022742.1|NZ_CP022742.1_674	GCF_002257545.1|NZ_CP022742.1|NZ_CP022742.1_674	GCF_002257545.1|NZ_CP022742.1|NZ_CP022742.1_674	1	CapRel__CapRel
clust_rep_seq_CBASS_I_TM_167	CBASS	CBASS_I_TM	Defense	GCF_002287545.1|NZ_CP023055.1|NZ_CP023055.1_366	GCF_002287545.1|NZ_CP023055.1|NZ_CP023055.1_374	GCF_002287545.1|NZ_CP023055.1|NZ_CP023055.1_366,GCF_002287545.1|NZ_CP023055.1|NZ_CP023055.1_372,GCF_002287545.1|NZ_CP023055.1|NZ_CP023055.1_374	3	CBASS__Cyclase_II,CBASS__Cyclase_SMODS,CBASS__Effector_4TM_S_4TM
clust_rep_seq_Lit_297	Lit	Lit	Defense	GCF_002863725.1|NZ_CP019121.1|NZ_CP019121.1_1620	GCF_002863725.1|NZ_CP019121.1|NZ_CP019121.1_1620	GCF_002863725.1|NZ_CP019121.1|NZ_CP019121.1_1620	1	Lit__Lit
clust_rep_seq_GAPS1_282	GAPS1	GAPS1	Defense	GCF_002863725.1|NZ_CP019121.1|NZ_CP019121.1_1644	GCF_002863725.1|NZ_CP019121.1|NZ_CP019121.1_1644	GCF_002863725.1|NZ_CP019121.1|NZ_CP019121.1_1644	1	GAPS1__GAPS1
clust_rep_seq_AbiAlpha_1	AbiAlpha	AbiAlpha	Defense	GCF_002863725.1|NZ_CP019121.1|NZ_CP019121.1_1645	GCF_002863725.1|NZ_CP019121.1|NZ_CP019121.1_1645	GCF_002863725.1|NZ_CP019121.1|NZ_CP019121.1_1645	1	AbiAlpha__AbiAlpha
clust_rep_seq_AbiL_32	AbiL	AbiL	Defense	GCF_000770115.1|NZ_CP009467.1|NZ_CP009467.1_2072	GCF_000770115.1|NZ_CP009467.1|NZ_CP009467.1_2073	GCF_000770115.1|NZ_CP009467.1|NZ_CP009467.1_2072,GCF_000770115.1|NZ_CP009467.1|NZ_CP009467.1_2073	2	AbiL__AbiLi2,AbiL__AbiLii2
clust_rep_seq_Shedu_442	Shedu	Shedu	Defense	GCF_000770115.1|NZ_CP009467.1|NZ_CP009467.1_2106	GCF_000770115.1|NZ_CP009467.1|NZ_CP009467.1_2106	GCF_000770115.1|NZ_CP009467.1|NZ_CP009467.1_2106	1	Shedu__SduA
clust_rep_seq_Other_Type_IV_327	Other_Type_IV	Other_Type_IV	Defense	GCF_000770115.1|NZ_CP009467.1|NZ_CP009467.1_2118	GCF_000770115.1|NZ_CP009467.1|NZ_CP009467.1_2118	GCF_000770115.1|NZ_CP009467.1|NZ_CP009467.1_2118	1	RM_Type_IV__Type_IV_05
clust_rep_seq_Aristaios_47	Aristaios	Aristaios	Defense	GCF_000772065.1|NZ_CP009617.1|NZ_CP009617.1_1096	GCF_000772065.1|NZ_CP009617.1|NZ_CP009617.1_1096	GCF_000772065.1|NZ_CP009617.1|NZ_CP009617.1_1096	1	Aristaios__Aristaios
clust_rep_seq_dGTPase_531	dGTPase	dGTPase	Defense	GCF_000772065.1|NZ_CP009617.1|NZ_CP009617.1_1115	GCF_000772065.1|NZ_CP009617.1|NZ_CP009617.1_1115	GCF_000772065.1|NZ_CP009617.1|NZ_CP009617.1_1115	1	dGTPase__Sp_dGTPase
clust_rep_seq_Aristaios_48	Aristaios	Aristaios	Defense	GCF_000772065.1|NZ_CP009617.1|NZ_CP009617.1_1121	GCF_000772065.1|NZ_CP009617.1|NZ_CP009617.1_1121	GCF_000772065.1|NZ_CP009617.1|NZ_CP009617.1_1121	1	Aristaios__Aristaios
clust_rep_seq_Kiwa_293	Kiwa	Kiwa	Defense	GCF_000829215.1|NZ_AP014525.1|NZ_AP014525.1_254	GCF_000829215.1|NZ_AP014525.1|NZ_AP014525.1_255	GCF_000829215.1|NZ_AP014525.1|NZ_AP014525.1_254,GCF_000829215.1|NZ_AP014525.1|NZ_AP014525.1_255	2	Kiwa__KwaA,Kiwa__KwaB
clust_rep_seq_gcu142_533	gcu142	gcu142	Defense	GCF_003063885.1|NZ_CP028893.1|NZ_CP028893.1_313	GCF_003063885.1|NZ_CP028893.1|NZ_CP028893.1_313	GCF_003063885.1|NZ_CP028893.1|NZ_CP028893.1_313	1	gcu142__gcu142
clust_rep_seq_VcaM4I_519	VcaM4I	VcaM4I	Defense	GCF_009762915.1|NZ_CP046738.1|NZ_CP046738.1_853	GCF_009762915.1|NZ_CP046738.1|NZ_CP046738.1_853	GCF_009762915.1|NZ_CP046738.1|NZ_CP046738.1_853	1	VcaM4I__VcaM4I
clust_rep_seq_EcoKMcrA_252	EcoKMcrA	EcoKMcrA	Defense	GCF_009762965.1|NZ_CP046741.1|NZ_CP046741.1_430	GCF_009762965.1|NZ_CP046741.1|NZ_CP046741.1_430	GCF_009762965.1|NZ_CP046741.1|NZ_CP046741.1_430	1	EcoKMcrA__EcoKMcrA
clust_rep_seq_VP1840_511	VP1840	VP1840	Defense	GCF_009763225.1|NZ_CP046798.1|NZ_CP046798.1_1145	GCF_009763225.1|NZ_CP046798.1|NZ_CP046798.1_1145	GCF_009763225.1|NZ_CP046798.1|NZ_CP046798.1_1145	1	VP1840__VP1840
clust_rep_seq_Other_Type_IV_328	Other_Type_IV	Other_Type_IV	Defense	GCF_002119525.1|NZ_CP017916.1|NZ_CP017916.1_1359	GCF_002119525.1|NZ_CP017916.1|NZ_CP017916.1_1359	GCF_002119525.1|NZ_CP017916.1|NZ_CP017916.1_1359	1	RM_Type_IV__Type_IV_03
clust_rep_seq_Dazbog_249	Dazbog	Dazbog	Defense	GCF_000011805.1|NC_006841.2|NC_006841.2_661	GCF_000011805.1|NC_006841.2|NC_006841.2_662	GCF_000011805.1|NC_006841.2|NC_006841.2_661,GCF_000011805.1|NC_006841.2|NC_006841.2_662	2	Dazbog__DzbA,Dazbog__DzbB
clust_rep_seq_VP1839_501	VP1839	VP1839	Defense	GCF_004319645.1|NZ_CP027030.1|NZ_CP027030.1_1373	GCF_004319645.1|NZ_CP027030.1|NZ_CP027030.1_1373	GCF_004319645.1|NZ_CP027030.1|NZ_CP027030.1_1373	1	VP1839__VP1839
clust_rep_seq_Aristaios_49	Aristaios	Aristaios	Defense	GCF_009601765.2|NZ_CP045700.1|NZ_CP045700.1_861	GCF_009601765.2|NZ_CP045700.1|NZ_CP045700.1_861	GCF_009601765.2|NZ_CP045700.1|NZ_CP045700.1_861	1	Aristaios__Aristaios
clust_rep_seq_Aristaios_50	Aristaios	Aristaios	Defense	GCF_009763705.1|NZ_CP046801.1|NZ_CP046801.1_529	GCF_009763705.1|NZ_CP046801.1|NZ_CP046801.1_529	GCF_009763705.1|NZ_CP046801.1|NZ_CP046801.1_529	1	Aristaios__Aristaios
clust_rep_seq_Aristaios_51	Aristaios	Aristaios	Defense	GCF_013393845.1|NZ_CP040100.1|NZ_CP040100.1_1611	GCF_013393845.1|NZ_CP040100.1|NZ_CP040100.1_1611	GCF_013393845.1|NZ_CP040100.1|NZ_CP040100.1_1611	1	Aristaios__Aristaios
clust_rep_seq_dCTPdeaminase_528	dCTPdeaminase	dCTPdeaminase	Defense	GCF_013393885.1|NZ_CP040103.1|NZ_CP040103.1_1951	GCF_013393885.1|NZ_CP040103.1|NZ_CP040103.1_1951	GCF_013393885.1|NZ_CP040103.1|NZ_CP040103.1_1951	1	dCTPdeaminase__dCTPdeaminase
clust_rep_seq_Esos_265	Esos	Esos	Defense	GCF_024347495.1|NZ_AP025491.1|NZ_AP025491.1_929	GCF_024347495.1|NZ_AP025491.1|NZ_AP025491.1_929	GCF_024347495.1|NZ_AP025491.1|NZ_AP025491.1_929	1	Esos__VCA0450
clust_rep_seq_AbiH_20	AbiH	AbiH	Defense	GCF_024971935.1|NZ_CP080098.1|NZ_CP080098.1_2681	GCF_024971935.1|NZ_CP080098.1|NZ_CP080098.1_2681	GCF_024971935.1|NZ_CP080098.1|NZ_CP080098.1_2681	1	AbiH__AbiH
clust_rep_seq_AbiJ_28	AbiJ	AbiJ	Defense	GCF_030580635.1|NZ_CP129422.1|NZ_CP129422.1_456	GCF_030580635.1|NZ_CP129422.1|NZ_CP129422.1_456	GCF_030580635.1|NZ_CP129422.1|NZ_CP129422.1_456	1	AbiJ__AbiJ
clust_rep_seq_CmdTAC_182	CmdTAC	CmdTAC	Defense	GCF_030704285.1|NZ_CP131931.1|NZ_CP131931.1_1432	GCF_030704285.1|NZ_CP131931.1|NZ_CP131931.1_1434	GCF_030704285.1|NZ_CP131931.1|NZ_CP131931.1_1432,GCF_030704285.1|NZ_CP131931.1|NZ_CP131931.1_1434	2	CmdTAC__CmdC,CmdTAC__CmdT
clust_rep_seq_SEFIR_422	SEFIR	SEFIR	Defense	GCF_030994165.1|NZ_CP099921.1|NZ_CP099921.1_1256	GCF_030994165.1|NZ_CP099921.1|NZ_CP099921.1_1256	GCF_030994165.1|NZ_CP099921.1|NZ_CP099921.1_1256	1	SEFIR__bSEFIR
clust_rep_seq_Epona_263	Epona	Epona	Defense	GCF_032841475.3|NZ_CP184806.1|NZ_CP184806.1_376	GCF_032841475.3|NZ_CP184806.1|NZ_CP184806.1_376	GCF_032841475.3|NZ_CP184806.1|NZ_CP184806.1_376	1	Epona__VCA0366
clust_rep_seq_Rugutis_408	Rugutis	Rugutis	Defense	GCF_045348105.1|NZ_CP150831.1|NZ_CP150831.1_915	GCF_045348105.1|NZ_CP150831.1|NZ_CP150831.1_915	GCF_045348105.1|NZ_CP150831.1|NZ_CP150831.1_915	1	Rugutis__Rugutis
clust_rep_seq_Toutatis_482	Toutatis	Toutatis	Defense	GCF_046118645.1|NZ_CP176035.1|NZ_CP176035.1_2575	GCF_046118645.1|NZ_CP176035.1|NZ_CP176035.1_2575	GCF_046118645.1|NZ_CP176035.1|NZ_CP176035.1_2575	1	Toutatis__TutA_VCA0446
clust_rep_seq_PARIS_II_merge_346	Paris	PARIS_II_merge	Defense	GCF_046118655.1|NZ_CP176031.1|NZ_CP176031.1_2029	GCF_046118655.1|NZ_CP176031.1|NZ_CP176031.1_2029	GCF_046118655.1|NZ_CP176031.1|NZ_CP176031.1_2029	1	Paris_II_merge__AAA_21_DUF4435
clust_rep_seq_Aristaios_52	Aristaios	Aristaios	Defense	GCF_046532655.1|NZ_CP151937.1|NZ_CP151937.1_1451	GCF_046532655.1|NZ_CP151937.1|NZ_CP151937.1_1451	GCF_046532655.1|NZ_CP151937.1|NZ_CP151937.1_1451	1	Aristaios__Aristaios
clust_rep_seq_Retron_II_394	Retron	Retron_II	Defense	GCF_046532655.1|NZ_CP151937.1|NZ_CP151937.1_1506	GCF_046532655.1|NZ_CP151937.1|NZ_CP151937.1_1507	GCF_046532655.1|NZ_CP151937.1|NZ_CP151937.1_1506,GCF_046532655.1|NZ_CP151937.1|NZ_CP151937.1_1507	2	Retron_II__NDT,Retron__RT_Tot_4
clust_rep_seq_gcuWGS21_539	gcuWGS21	gcuWGS21	Defense	GCF_049384865.1|NZ_JAIWIW010000001.1|NZ_JAIWIW010000001.1_1299	GCF_049384865.1|NZ_JAIWIW010000001.1|NZ_JAIWIW010000001.1_1299	GCF_049384865.1|NZ_JAIWIW010000001.1|NZ_JAIWIW010000001.1_1299	1	gcuWGS21__gcuWGS21
clust_rep_seq_Rugutis_409	Rugutis	Rugutis	Defense	GCF_022869905.1|NZ_CP064381.1|NZ_CP064381.1_526	GCF_022869905.1|NZ_CP064381.1|NZ_CP064381.1_526	GCF_022869905.1|NZ_CP064381.1|NZ_CP064381.1_526	1	Rugutis__Rugutis
clust_rep_seq_VP1817_489	VP1817	VP1817	Defense	GCF_023151555.2|NZ_CP100425.1|NZ_CP100425.1_1887	GCF_023151555.2|NZ_CP100425.1|NZ_CP100425.1_1887	GCF_023151555.2|NZ_CP100425.1|NZ_CP100425.1_1887	1	VP1817__VP1817
clust_rep_seq_Septu_434	Septu	Septu	Defense	GCF_023205895.1|NZ_CP064033.1|NZ_CP064033.1_1186	GCF_023205895.1|NZ_CP064033.1|NZ_CP064033.1_1187	GCF_023205895.1|NZ_CP064033.1|NZ_CP064033.1_1186,GCF_023205895.1|NZ_CP064033.1|NZ_CP064033.1_1187	2	Septu__PtuA,Septu__PtuB
clust_rep_seq_Aristaios_53	Aristaios	Aristaios	Defense	GCF_023277445.1|NZ_CP080238.1|NZ_CP080238.1_162	GCF_023277445.1|NZ_CP080238.1|NZ_CP080238.1_162	GCF_023277445.1|NZ_CP080238.1|NZ_CP080238.1_162	1	Aristaios__Aristaios
clust_rep_seq_Other_Type_IV_329	Other_Type_IV	Other_Type_IV	Defense	GCF_024582835.1|NZ_CP102097.1|NZ_CP102097.1_968	GCF_024582835.1|NZ_CP102097.1|NZ_CP102097.1_968	GCF_024582835.1|NZ_CP102097.1|NZ_CP102097.1_968	1	RM_Type_IV__Type_IV_05
clust_rep_seq_VP1817_490	VP1817	VP1817	Defense	GCF_025994915.1|NZ_AP026552.1|NZ_AP026552.1_1334	GCF_025994915.1|NZ_AP026552.1|NZ_AP026552.1_1334	GCF_025994915.1|NZ_AP026552.1|NZ_AP026552.1_1334	1	VP1817__VP1817
clust_rep_seq_Belisama_156	Belisama	Belisama	Defense	GCF_026000435.1|NZ_AP026763.1|NZ_AP026763.1_1178	GCF_026000435.1|NZ_AP026763.1|NZ_AP026763.1_1178	GCF_026000435.1|NZ_AP026763.1|NZ_AP026763.1_1178	1	Belisama__VCA0458
clust_rep_seq_Rugutis_410	Rugutis	Rugutis	Defense	GCF_038695265.1|NZ_CP152308.1|NZ_CP152308.1_505	GCF_038695265.1|NZ_CP152308.1|NZ_CP152308.1_505	GCF_038695265.1|NZ_CP152308.1|NZ_CP152308.1_505	1	Rugutis__Rugutis
clust_rep_seq_EcoKMcrA_253	EcoKMcrA	EcoKMcrA	Defense	GCF_039602145.1|NZ_CP142015.1|NZ_CP142015.1_854	GCF_039602145.1|NZ_CP142015.1|NZ_CP142015.1_854	GCF_039602145.1|NZ_CP142015.1|NZ_CP142015.1_854	1	EcoKMcrA__EcoKMcrA
clust_rep_seq_AbiAlpha_2	AbiAlpha	AbiAlpha	Defense	GCF_039602145.1|NZ_CP142015.1|NZ_CP142015.1_921	GCF_039602145.1|NZ_CP142015.1|NZ_CP142015.1_921	GCF_039602145.1|NZ_CP142015.1|NZ_CP142015.1_921	1	AbiAlpha__AbiAlpha
clust_rep_seq_EcoKMcrA_254	EcoKMcrA	EcoKMcrA	Defense	GCF_040254425.1|NZ_CP158305.1|NZ_CP158305.1_1737	GCF_040254425.1|NZ_CP158305.1|NZ_CP158305.1_1737	GCF_040254425.1|NZ_CP158305.1|NZ_CP158305.1_1737	1	EcoKMcrA__EcoKMcrA
clust_rep_seq_Aristaios_54	Aristaios	Aristaios	Defense	GCF_040735825.1|NZ_CP147727.1|NZ_CP147727.1_393	GCF_040735825.1|NZ_CP147727.1|NZ_CP147727.1_393	GCF_040735825.1|NZ_CP147727.1|NZ_CP147727.1_393	1	Aristaios__Aristaios
clust_rep_seq_VcaM4I_520	VcaM4I	VcaM4I	Defense	GCF_040869035.2|NZ_CP162101.2|NZ_CP162101.2_299	GCF_040869035.2|NZ_CP162101.2|NZ_CP162101.2_299	GCF_040869035.2|NZ_CP162101.2|NZ_CP162101.2_299	1	VcaM4I__VcaM4I
clust_rep_seq_Aristaios_55	Aristaios	Aristaios	Defense	GCF_040869035.2|NZ_CP162101.2|NZ_CP162101.2_301	GCF_040869035.2|NZ_CP162101.2|NZ_CP162101.2_301	GCF_040869035.2|NZ_CP162101.2|NZ_CP162101.2_301	1	Aristaios__Aristaios
clust_rep_seq_Other_Type_IV_330	Other_Type_IV	Other_Type_IV	Defense	GCF_053220475.1|NZ_CM129938.1|NZ_CM129938.1_502	GCF_053220475.1|NZ_CM129938.1|NZ_CM129938.1_502	GCF_053220475.1|NZ_CM129938.1|NZ_CM129938.1_502	1	RM_Type_IV__Type_IV_03
clust_rep_seq_VcaM4I_521	VcaM4I	VcaM4I	Defense	GCF_053220475.1|NZ_CM129938.1|NZ_CM129938.1_506	GCF_053220475.1|NZ_CM129938.1|NZ_CM129938.1_506	GCF_053220475.1|NZ_CM129938.1|NZ_CM129938.1_506	1	VcaM4I__VcaM4I
clust_rep_seq_AbiAlpha_3	AbiAlpha	AbiAlpha	Defense	GCF_053220615.1|NZ_CM129952.1|NZ_CM129952.1_795	GCF_053220615.1|NZ_CM129952.1|NZ_CM129952.1_795	GCF_053220615.1|NZ_CM129952.1|NZ_CM129952.1_795	1	AbiAlpha__AbiAlpha
clust_rep_seq_Esos_266	Esos	Esos	Defense	GCF_053220615.1|NZ_CM129952.1|NZ_CM129952.1_802	GCF_053220615.1|NZ_CM129952.1|NZ_CM129952.1_802	GCF_053220615.1|NZ_CM129952.1|NZ_CM129952.1_802	1	Esos__VCA0450
clust_rep_seq_Aristaios_56	Aristaios	Aristaios	Defense	GCF_053220615.1|NZ_CM129952.1|NZ_CM129952.1_835	GCF_053220615.1|NZ_CM129952.1|NZ_CM129952.1_835	GCF_053220615.1|NZ_CM129952.1|NZ_CM129952.1_835	1	Aristaios__Aristaios
clust_rep_seq_Aristaios_57	Aristaios	Aristaios	Defense	GCF_058545285.1|NZ_CM178589.1|NZ_CM178589.1_288	GCF_058545285.1|NZ_CM178589.1|NZ_CM178589.1_288	GCF_058545285.1|NZ_CM178589.1|NZ_CM178589.1_288	1	Aristaios__Aristaios
