accession,replicon,integron,type,intI,attC,cassettes,start,end,span_kb
GCF_001758605.1,NZ_CP012950.1,integron_03,CALIN,no,29,28,1421636,1444097,22.5
GCF_001767355.1,NZ_CP016384.1,integron_01,complete,yes,91,90,41,1270905,1270.9
GCF_001854425.1,NZ_CP013013.1,integron_01,complete,yes,148,147,829699,942463,112.8
GCF_001879585.1,NZ_CP013248.1,integron_01,CALIN,no,19,18,1948956,1964511,15.6
GCF_001879585.1,NZ_CP013248.1,integron_02,complete,yes,119,118,1975071,2075156,100.1
GCF_001887055.1,NZ_CP013826.1,integron_01,complete,yes,125,124,1284974,1388096,103.1
GCF_001887395.1,NZ_CP013302.1,integron_01,complete,yes,221,220,309774,468910,159.1
GCF_001887415.1,NZ_CP013312.1,integron_01,complete,yes,207,206,693791,843158,149.4
GCF_001887435.1,NZ_CP013304.1,integron_01,complete,yes,164,163,309816,427298,117.5
GCF_001887455.1,NZ_CP013306.1,integron_01,complete,yes,218,217,309821,463174,153.4
GCF_001887475.1,NZ_CP013308.1,integron_01,complete,yes,193,192,309168,451279,142.1
GCF_001887495.1,NZ_CP013310.1,integron_01,complete,yes,215,214,440614,596283,155.7
GCF_001887515.1,NZ_CP013318.1,integron_01,complete,yes,204,203,343365,496457,153.1
GCF_001887615.1,NZ_CP013320.1,integron_01,complete,yes,169,168,309782,435862,126.1
GCF_001887635.1,NZ_CP013316.1,integron_01,complete,yes,177,176,93061,221594,128.5
GCF_001887655.1,NZ_CP013314.1,integron_01,complete,yes,220,219,309780,468088,158.3
GCF_001908435.2,NZ_CP018680.2,integron_01,complete,yes,83,82,1209479,1282830,73.4
GCF_001908435.2,NZ_CP018681.2,integron_01,CALIN,no,6,5,1330748,1338354,7.6
GCF_001908435.2,NZ_CP018682.2,integron_01,CALIN,no,2,1,8935,11012,2.1
GCF_001908435.2,NZ_CP018684.2,integron_01,CALIN,no,6,5,9631,14004,4.4
GCF_001952955.1,NZ_CP019119.1,integron_01,complete,yes,4,3,720948,725304,4.4
GCF_001952955.1,NZ_CP019119.1,integron_02,CALIN,no,2,1,766972,768451,1.5
GCF_001952955.1,NZ_CP019119.1,integron_03,CALIN,no,2,1,1511177,1523473,12.3
GCF_001969325.1,NZ_CP019293.1,integron_01,complete,yes,89,88,1369961,1451105,81.1
GCF_001995825.2,NZ_CP065150.1,integron_01,complete,yes,41,40,2678568,2705755,27.2
GCF_001995825.2,NZ_CP065150.1,integron_02,CALIN,no,50,49,2974765,3008428,33.7
GCF_001995825.2,NZ_CP065151.1,integron_01,CALIN,no,47,46,1346,1507736,1506.4
GCF_001995825.2,NZ_CP065151.1,integron_02,CALIN,no,28,27,1449479,1472912,23.4
GCF_001996365.2,NZ_CP043421.1,integron_01,complete,yes,122,121,1470987,1572878,101.9
GCF_002021755.1,NZ_CP019959.1,integron_01,complete,yes,54,53,3257030,3303318,46.3
GCF_002073335.2,NZ_CP020407.2,integron_01,complete,yes,171,170,749463,875103,125.6
GCF_002073775.2,NZ_CP020427.2,integron_01,complete,yes,66,65,3215326,3262818,47.5
GCF_002117205.1,NZ_CP015512.1,integron_01,CALIN,no,6,5,1656355,1662140,5.8
GCF_002117205.1,NZ_CP015512.1,integron_02,complete,yes,125,124,1671690,1771638,99.9
GCF_002119505.2,NZ_CP017889.1,integron_01,CALIN,no,23,22,1947462,1967008,19.5
GCF_002119505.2,NZ_CP017889.1,integron_02,complete,yes,22,21,2058770,2078744,20.0
GCF_002119505.2,NZ_CP017889.1,integron_03,CALIN,no,4,3,2644059,2647953,3.9
GCF_002119525.1,NZ_CP017916.1,integron_01,CALIN,no,4,3,1544610,1548653,4.0
GCF_002119525.1,NZ_CP017916.1,integron_02,complete,yes,1,0,1939725,1947512,7.8
GCF_002119545.1,NZ_CP017899.1,integron_01,CALIN,no,23,22,1948787,1968333,19.5
GCF_002119545.1,NZ_CP017899.1,integron_02,complete,yes,22,21,2060095,2080069,20.0
GCF_002119545.1,NZ_CP017899.1,integron_03,CALIN,no,4,3,2646672,2650566,3.9
GCF_002119565.1,NZ_CP017907.1,integron_01,CALIN,no,23,22,1950468,1970014,19.5
GCF_002119565.1,NZ_CP017907.1,integron_02,complete,yes,22,21,2061776,2081750,20.0
GCF_002119565.1,NZ_CP017907.1,integron_03,CALIN,no,4,3,2647053,2650947,3.9
GCF_002119585.1,NZ_CP017911.1,integron_01,CALIN,no,23,22,1936293,1955839,19.5
GCF_002119585.1,NZ_CP017911.1,integron_02,complete,yes,22,21,2047601,2067575,20.0
GCF_002119585.1,NZ_CP017911.1,integron_03,CALIN,no,4,3,2632890,2636784,3.9
GCF_002140055.1,NZ_CP020076.1,integron_01,complete,yes,89,88,1448105,1529246,81.1
GCF_002142615.1,NZ_CP021152.1,integron_01,CALIN,no,2,1,425819,428343,2.5
GCF_002142655.1,NZ_CP021145.1,integron_01,complete,yes,65,64,1520439,1583131,62.7
GCF_002149065.1,NZ_CP017919.1,integron_01,CALIN,no,4,3,2533711,2537605,3.9
GCF_002149065.1,NZ_CP017919.1,integron_02,complete,yes,22,21,3102922,3122896,20.0
GCF_002149065.1,NZ_CP017919.1,integron_03,CALIN,no,23,22,3214659,3234205,19.5
GCF_002149085.1,NZ_CP017913.1,integron_01,CALIN,no,23,22,1946003,1965549,19.5
GCF_002149085.1,NZ_CP017913.1,integron_02,complete,yes,22,21,2057311,2077285,20.0
GCF_002149085.1,NZ_CP017913.1,integron_03,CALIN,no,4,3,2643894,2647788,3.9
GCF_002149105.1,NZ_CP017896.1,integron_01,CALIN,no,23,22,1955332,1974878,19.5
GCF_002149105.1,NZ_CP017896.1,integron_02,complete,yes,22,21,2066640,2086614,20.0
GCF_002149105.1,NZ_CP017896.1,integron_03,CALIN,no,4,3,2651930,2655824,3.9
GCF_002157735.2,NZ_AP018690.1,integron_01,CALIN,no,3,2,482280,485270,3.0
GCF_002163755.1,NZ_CP015863.1,integron_01,CALIN,no,14,13,1824312,1836400,12.1
GCF_002163755.1,NZ_CP015863.1,integron_02,complete,yes,41,40,1985946,2020676,34.7
GCF_002163755.1,NZ_CP015864.1,integron_01,CALIN,no,28,27,72651,92882,20.2
GCF_002163755.1,NZ_CP015864.1,integron_02,CALIN,no,11,10,689864,698687,8.8
GCF_002163755.1,NZ_CP015864.1,integron_03,CALIN,no,4,3,1216532,1220579,4.0
GCF_002163755.1,NZ_CP015865.1,integron_01,CALIN,no,2,1,7218,8980,1.8
GCF_002163755.1,NZ_CP015865.1,integron_02,CALIN,no,3,2,18972,21542,2.6
GCF_002196515.1,NZ_CP018835.1,integron_01,CALIN,no,2,1,686393,691472,5.1
GCF_002196515.1,NZ_CP018835.1,integron_02,CALIN,no,2,1,3067595,3071498,3.9
GCF_002196515.1,NZ_CP018835.1,integron_03,CALIN,no,2,1,3154548,3156383,1.8
GCF_002196515.1,NZ_CP018836.1,integron_01,CALIN,no,2,1,117385,121230,3.8
GCF_002196515.1,NZ_CP018836.1,integron_02,CALIN,no,3,2,641093,651141,10.0
GCF_002196515.1,NZ_CP018836.1,integron_03,CALIN,no,2,1,711304,715990,4.7
GCF_002204915.1,NZ_CP016321.1,integron_01,complete,yes,185,184,1630666,1757381,126.7
GCF_002204915.1,NZ_CP016322.1,integron_01,CALIN,no,2,1,367063,370556,3.5
GCF_002204915.1,NZ_CP016323.1,integron_01,CALIN,no,48,47,1207,40830,39.6
GCF_002204915.1,NZ_CP016323.1,integron_02,CALIN,no,3,2,6153,19416,13.3
GCF_002209725.2,NZ_CP022473.1,integron_01,complete,yes,167,166,1307049,1428121,121.1
GCF_002209725.2,NZ_CP022473.1,integron_02,CALIN,no,3,2,1837219,1839290,2.1
GCF_002211505.1,NZ_CP021981.1,integron_01,complete,yes,59,58,414867,467955,53.1
GCF_002211505.1,NZ_CP021981.1,integron_02,CALIN,no,12,11,528286,540024,11.7
GCF_002211505.1,NZ_CP021981.1,integron_03,CALIN,no,16,15,559860,572146,12.3
GCF_002211985.1,NZ_CP022102.1,integron_01,complete,yes,209,208,378437,533861,155.4
GCF_002212005.1,NZ_CP022100.1,integron_01,CALIN,no,3,2,293052,296900,3.8
GCF_002212005.1,NZ_CP022100.1,integron_02,complete,yes,286,285,435402,647524,212.1
GCF_002212025.1,NZ_CP022104.1,integron_01,complete,yes,232,231,383364,557447,174.1
GCF_002214345.1,NZ_CP018308.1,integron_01,complete,yes,20,19,2948336,2969128,20.8
GCF_002214345.1,NZ_CP018309.1,integron_01,CALIN,no,2,1,1055584,1061536,6.0
GCF_002214395.1,NZ_CP018312.1,integron_01,complete,yes,67,66,1243646,1303220,59.6
GCF_002215135.1,NZ_CP014636.1,integron_01,complete,yes,206,205,1452095,1629991,177.9
GCF_002216685.1,NZ_CP022353.1,integron_01,CALIN,no,2,1,1705880,1709275,3.4
GCF_002216685.1,NZ_CP022352.1,integron_01,complete,yes,115,114,80613,168415,87.8
GCF_002216685.1,NZ_CP022352.1,integron_02,CALIN,no,2,1,82439,84322,1.9
GCF_002216855.1,,,none,no,0,0,0,0,0
GCF_002218025.2,NZ_AP018680.1,integron_01,complete,yes,1,0,1158597,1164188,5.6
GCF_002218025.2,NZ_AP018680.1,integron_02,CALIN,no,2,1,1461783,1467678,5.9
GCF_002218045.2,NZ_AP018686.1,integron_01,CALIN,no,4,3,580086,587104,7.0
GCF_002220985.3,NZ_CP022552.2,integron_01,CALIN,no,3,2,1923023,1925236,2.2
GCF_002220985.3,NZ_CP022552.2,integron_02,complete,yes,114,113,2347816,2431372,83.6
GCF_002224265.1,NZ_CP012881.1,integron_01,complete,yes,218,217,2922213,3081320,159.1
GCF_002257545.1,NZ_CP022742.1,integron_01,complete,yes,378,377,569077,823951,254.9
GCF_002287545.1,NZ_CP023055.1,integron_01,complete,yes,40,39,398863,468696,69.8
GCF_002287545.1,NZ_CP023055.1,integron_02,CALIN,no,32,31,482588,520166,37.6
GCF_002287545.1,NZ_CP023055.1,integron_03,CALIN,no,18,17,624024,644923,20.9
GCF_002290245.2,NZ_CP023248.2,integron_01,complete,yes,126,125,1278433,1382460,104.0
GCF_002290245.2,NZ_CP023248.2,integron_02,CALIN,no,2,1,1826942,1829211,2.3
GCF_002291265.1,NZ_CP023209.1,integron_01,CALIN,no,62,61,474655,533424,58.8
GCF_002291265.1,NZ_CP023209.1,integron_02,CALIN,no,11,10,554743,562141,7.4
GCF_002291265.1,NZ_CP023209.1,integron_03,complete,yes,16,15,581977,597337,15.4
GCF_002310335.1,NZ_CP023311.1,integron_01,complete,yes,30,29,529673,559534,29.9
GCF_002310335.1,NZ_CP023311.1,integron_02,CALIN,no,2,1,559567,561713,2.1
GCF_002310335.1,NZ_CP023311.1,integron_03,CALIN,no,5,4,629537,634200,4.7
GCF_002310335.1,NZ_CP023311.1,integron_04,CALIN,no,65,64,658917,742871,84.0
GCF_002310335.1,NZ_CP023311.1,integron_05,CALIN,no,4,3,705352,707317,2.0
GCF_002310335.1,NZ_CP023311.1,integron_06,CALIN,no,3,2,750808,758038,7.2
GCF_002313025.1,NZ_CP016988.1,integron_01,complete,yes,121,120,361389,460316,98.9
GCF_002356235.1,NZ_AP018045.1,integron_01,CALIN,no,2,1,2222731,2225412,2.7
GCF_002749635.1,NZ_CP024163.1,integron_01,complete,yes,169,168,309306,433568,124.3
GCF_002796765.2,NZ_CP156746.1,integron_01,complete,yes,3,2,581976,585613,3.6
GCF_002796765.2,NZ_CP156746.1,integron_02,complete,yes,5,4,1031087,1035249,4.2
GCF_002796765.2,NZ_CP156746.1,integron_03,CALIN,no,2,1,1513156,1514366,1.2
GCF_002850295.1,NZ_CP025537.1,integron_01,complete,yes,4,3,2679502,2685491,6.0
GCF_002850295.1,NZ_CP025538.1,integron_01,CALIN,no,2,1,1158889,1163216,4.3
GCF_002850295.1,NZ_CP025539.1,integron_01,CALIN,no,5,4,84242,88346,4.1
GCF_002850455.1,NZ_CP019320.1,integron_01,complete,yes,285,284,2026349,2214577,188.2
GCF_002863725.1,NZ_CP019121.1,integron_01,complete,yes,266,265,1680885,1885081,204.2
GCF_002863725.1,NZ_CP019122.1,integron_01,CALIN,no,4,3,354323,360204,5.9
GCF_002863725.1,NZ_CP019122.1,integron_02,CALIN,no,3,2,1462891,1465953,3.1
GCF_002872705.2,NZ_CP169997.1,integron_01,CALIN,no,4,3,1281419,1284458,3.0
GCF_002872705.2,NZ_CP169998.1,integron_01,CALIN,no,4,3,249729,256903,7.2
GCF_002872705.2,NZ_CP169998.1,integron_02,CALIN,no,2,1,411101,413491,2.4
GCF_002872705.2,NZ_CP169998.1,integron_03,CALIN,no,3,2,885381,888821,3.4
GCF_002872815.2,NZ_CP170022.1,integron_01,CALIN,no,4,3,1387233,1390908,3.7
GCF_002872815.2,NZ_CP170022.1,integron_02,CALIN,no,10,9,1911284,1919519,8.2
GCF_002872815.2,NZ_CP170023.1,integron_01,CALIN,no,6,5,972070,979111,7.0
GCF_002873285.2,NZ_CP170019.1,integron_01,CALIN,no,7,6,2110001,2118143,8.1
GCF_002873285.2,NZ_CP170020.1,integron_01,CALIN,no,2,1,68298,70683,2.4
GCF_002873745.2,NZ_CP170015.1,integron_01,complete,yes,7,6,1344799,1355424,10.6
GCF_002873745.2,NZ_CP170016.1,integron_01,CALIN,no,5,4,1476934,1483228,6.3
GCF_002873825.2,NZ_CP170013.1,integron_01,CALIN,no,5,4,1613251,1618090,4.8
GCF_002873825.2,NZ_CP170014.1,integron_01,CALIN,no,6,5,245294,250818,5.5
GCF_002873935.2,NZ_CP170011.1,integron_01,complete,yes,8,7,1447955,1460101,12.1
GCF_002873935.2,NZ_CP170011.1,integron_02,CALIN,no,3,2,1777012,1779780,2.8
GCF_002873935.2,NZ_CP170012.1,integron_01,CALIN,no,4,3,905351,911208,5.9
GCF_002874015.2,NZ_CP170001.1,integron_01,CALIN,no,4,3,533737,541182,7.4
GCF_002874035.2,NZ_CP169999.1,integron_01,CALIN,no,2,1,1427,3549,2.1
GCF_002874035.2,NZ_CP170000.1,integron_01,CALIN,no,4,3,1200725,1204773,4.0
GCF_002874615.2,NZ_CP170017.1,integron_01,CALIN,no,7,6,189844,197489,7.6
