accession,species,attC,cassettes,complete,calin
GCF_001433435.1,Vibrio vulnificus,224,222,1,1
GCF_001653775.1,Vibrio vulnificus,224,222,1,1
GCF_058215515.1,Vibrio cholerae,223,222,1,0
GCF_008693685.1,Vibrio vulnificus,222,221,1,0
GCF_024347495.1,Vibrio gallaecicus,222,219,1,2
GCF_001887395.1,Vibrio cholerae,221,220,1,0
GCF_009665275.1,Vibrio metoecus,221,220,1,0
GCF_043763295.1,Vibrio cholerae,221,220,1,0
GCF_043766955.1,Vibrio cholerae,221,220,1,0
GCF_001887655.1,Vibrio cholerae,220,219,1,0
GCF_039658515.1,Vibrio parahaemolyticus,219,216,1,2
GCF_043765735.1,Vibrio cholerae,219,218,1,0
GCF_001887455.1,Vibrio cholerae,218,217,1,0
GCF_002224265.1,Vibrio vulnificus NBRC 15645 = ATCC 27562,218,217,1,0
GCF_043762865.1,Vibrio cholerae,218,217,1,0
GCF_056820805.1,Vibrio vulnificus,217,215,1,1
GCF_900324435.1,Vibrio cholerae,217,216,1,0
GCF_023716645.1,Vibrio sp. SCSIO 43145,216,215,0,1
GCF_001887495.1,Vibrio cholerae,215,214,1,0
GCF_009665195.1,Vibrio mimicus,215,214,1,0
GCF_054906185.1,Vibrio cholerae,215,213,1,1
GCF_030580635.1,Vibrio metoecus,213,212,1,0
GCF_030220165.1,Vibrio vulnificus,211,209,1,1
GCF_948151475.1,Vibrio campbellii,210,207,1,2
GCF_002211985.1,Vibrio anguillarum,209,208,1,0
GCF_009763885.1,Vibrio cincinnatiensis,208,205,1,2
GCF_001887415.1,Vibrio cholerae,207,206,1,0
GCF_002215135.1,Vibrio vulnificus,206,205,1,0
GCF_030994145.1,Vibrio parahaemolyticus,206,205,1,0
GCF_034480095.1,Vibrio parahaemolyticus,206,205,1,0
GCF_038253855.1,Vibrio parahaemolyticus,206,205,1,0
GCF_009665415.1,Vibrio cidicii,205,204,0,1
GCF_030994185.1,Vibrio parahaemolyticus,205,204,1,0
GCF_043757815.1,Vibrio cholerae,205,204,1,0
GCF_001887515.1,Vibrio cholerae,204,203,1,0
GCF_013357645.1,Vibrio cholerae,204,203,1,0
GCF_000039765.1,Vibrio vulnificus CMCP6,203,202,1,0
GCF_043760105.1,Vibrio cholerae,203,202,1,0
GCF_042940635.1,Vibrio sp. NH-UV-68,202,200,1,1
GCF_053202865.1,Vibrio cholerae,199,197,1,1
GCF_009764055.1,Vibrio parahaemolyticus,198,196,1,1
GCF_043760675.1,Vibrio cholerae,198,197,1,0
GCF_053220535.1,Vibrio cholerae,198,197,1,0
GCF_055797365.1,Vibrio cholerae,198,197,1,0
GCF_021729985.1,Vibrio parahaemolyticus,197,195,1,1
GCF_000829215.1,Vibrio cholerae MS6,194,193,1,0
GCF_001683415.1,Vibrio cholerae 2740-80,193,192,1,0
GCF_001887475.1,Vibrio cholerae,193,192,1,0
GCF_013357725.1,Vibrio cholerae,193,191,1,1
GCF_033441455.1,Vibrio parahaemolyticus,193,190,1,2
GCF_009665215.1,Vibrio navarrensis,192,191,0,1
GCF_009762985.1,Vibrio cholerae,192,191,1,0
GCF_059941805.1,Vibrio parahaemolyticus,191,190,1,0
GCF_009764025.1,Vibrio mimicus,189,188,1,0
GCF_013357625.1,Vibrio cholerae,189,188,1,0
GCF_041734175.1,Vibrio anguillarum,189,187,1,1
GCF_900185995.1,Vibrio cholerae,189,188,1,0
GCF_009764005.1,Vibrio mimicus,188,187,1,0
GCF_038050815.1,Vibrio parahaemolyticus,188,185,1,2
GCF_038050985.1,Vibrio parahaemolyticus,188,185,1,2
GCF_038741195.1,Vibrio parahaemolyticus,188,185,1,2
GCF_048914355.1,Vibrio parahaemolyticus,188,185,1,2
GCF_050920865.1,Vibrio parahaemolyticus,188,185,1,2
GCF_051903045.1,Vibrio parahaemolyticus,188,185,1,2
GCF_052953315.1,Vibrio parahaemolyticus,188,185,1,2
GCF_026970915.1,Vibrio parahaemolyticus,187,184,1,2
GCF_032027525.2,Vibrio cholerae,187,184,1,2
GCF_051132235.1,Vibrio sp. SCSIO 43086,187,186,1,0
GCF_000009745.1,Vibrio vulnificus YJ016,186,185,1,0
GCF_001558475.2,Vibrio mimicus,185,184,1,0
GCF_000186585.1,Vibrio vulnificus MO6-24/O,183,181,1,1
GCF_023716545.1,Vibrio sp. SCSIO 43139,182,181,0,1
GCF_023716705.1,Vibrio sp. SCSIO 43186,182,181,0,1
GCF_024449095.1,Vibrio coralliilyticus,182,181,0,1
GCF_003612695.1,Vibrio parahaemolyticus,180,178,1,1
GCF_026650865.1,Vibrio parahaemolyticus,180,179,1,0
GCF_029023705.1,Vibrio alginolyticus,178,174,1,3
GCF_030718785.1,Vibrio cholerae,178,177,1,0
GCF_033803245.2,Vibrio cholerae,178,176,1,1
GCF_001887635.1,Vibrio cholerae,177,176,1,0
GCF_029990625.1,Vibrio vulnificus,177,175,1,1
GCF_046118655.1,Vibrio parahaemolyticus,177,175,1,1
GCF_009762915.1,Vibrio cholerae,176,175,1,0
GCF_039602145.1,Vibrio cholerae,176,175,1,0
GCF_004319645.1,Vibrio vulnificus,175,173,0,2
GCF_009665395.1,Vibrio cincinnatiensis,174,170,1,3
GCF_024347395.1,Vibrio cortegadensis,172,171,1,0
GCF_030238765.2,Vibrio parahaemolyticus,172,170,2,0
GCF_045586155.1,Vibrio diabolicus,172,171,1,0
GCF_000006745.1,Vibrio cholerae O1 biovar El Tor str. N16961,171,170,1,0
GCF_000250855.1,Vibrio cholerae IEC224,171,170,1,0
GCF_001250235.2,Vibrio cholerae,171,170,1,0
GCF_002073335.2,Vibrio cholerae,171,170,1,0
GCF_003063785.1,Vibrio cholerae,171,170,1,0
GCF_013085125.1,Vibrio cholerae O1 biovar El Tor,171,170,1,0
GCF_013357665.1,Vibrio cholerae,171,167,1,3
GCF_043766185.1,Vibrio cholerae,171,170,1,0
GCF_900205735.1,Vibrio cholerae O1 biovar El Tor str. N16961,171,170,1,0
GCF_001682175.1,Vibrio parahaemolyticus,170,168,1,1
GCF_002209725.2,Vibrio parahaemolyticus,170,168,1,1
GCF_009763565.1,Vibrio parahaemolyticus,170,168,1,1
GCF_001887615.1,Vibrio cholerae,169,168,1,0
GCF_002749635.1,Vibrio cholerae,169,168,1,0
GCF_009763905.1,Vibrio metoecus,169,168,1,0
GCF_013085165.1,Vibrio cholerae O1 biovar El Tor,169,168,1,0
GCF_040588515.1,Vibrio metschnikovii,169,168,1,0
GCF_043755855.1,Vibrio cholerae,169,168,1,0
GCF_043756335.1,Vibrio cholerae,169,168,1,0
GCF_043759795.1,Vibrio cholerae,169,168,1,0
GCF_043769025.1,Vibrio cholerae,169,168,1,0
GCF_044343085.1,Vibrio cholerae,169,168,1,0
GCF_044343165.1,Vibrio cholerae,169,168,1,0
GCF_002892855.1,Vibrio cholerae,168,167,1,0
GCF_002997215.1,Vibrio cholerae,168,167,1,0
GCF_003097695.1,Vibrio cholerae,168,167,1,0
GCF_013085075.1,Vibrio cholerae C6706,168,167,1,0
GCF_013085105.1,Vibrio cholerae O1 biovar El Tor,168,167,1,0
GCF_015482825.1,Vibrio cholerae C6706,168,167,1,0
GCF_017948285.1,Vibrio cholerae,168,167,1,0
GCF_021431945.1,Vibrio cholerae,168,166,1,1
GCF_043758405.1,Vibrio cholerae,168,167,1,0
GCF_044343075.1,Vibrio cholerae,168,167,1,0
GCF_046736365.1,Vibrio cholerae C6706,168,167,1,0
GCF_009763945.1,Vibrio cholerae C6706,167,166,1,0
GCF_040315585.1,Vibrio metschnikovii,167,161,1,5
GCF_043756065.1,Vibrio cholerae,167,166,1,0
GCF_053220475.1,Vibrio cholerae,167,166,1,0
GCF_001995825.2,Vibrio kanaloae,166,162,1,3
GCF_023169625.1,Vibrio alginolyticus,165,163,0,2
GCF_030704285.1,Vibrio parahaemolyticus,165,162,1,2
GCF_046118645.1,Vibrio parahaemolyticus,165,163,1,1
GCF_060301545.1,Vibrio parahaemolyticus,165,164,1,0
GCF_001887435.1,Vibrio cholerae,164,163,1,0
GCF_043763905.1,Vibrio cholerae,164,163,1,0
GCF_056934275.1,Vibrio parahaemolyticus,164,161,1,2
GCF_013393865.1,Vibrio parahaemolyticus,162,161,1,0
GCF_022343205.1,Vibrio alginolyticus,162,160,1,1
GCF_009763085.1,Vibrio alginolyticus,161,157,2,2
GCF_024442155.1,Vibrio campbellii,160,151,1,8
GCF_008369605.1,Vibrio cholerae,159,156,1,2
GCF_018336415.1,Vibrio cholerae O37,159,158,1,0
GCF_059692275.1,Vibrio parahaemolyticus,159,156,1,2
GCF_052772185.1,Vibrio parahaemolyticus,158,157,1,0
GCF_045689325.1,Vibrio cholerae V52,156,155,1,0
GCF_009734325.1,Vibrio parahaemolyticus,155,154,1,0
GCF_043757505.1,Vibrio cholerae,155,154,1,0
GCF_054112565.1,Vibrio metschnikovii,155,154,1,0
GCF_015779285.1,Vibrio parahaemolyticus,154,153,1,0
GCF_020041945.1,Vibrio parahaemolyticus,154,153,1,0
GCF_059772125.1,Vibrio jasicida,154,153,1,0
GCF_024442195.1,Vibrio campbellii,153,143,1,9
GCF_040735825.1,Vibrio cholerae,153,152,1,0
GCF_003085735.1,Vibrio parahaemolyticus,152,151,1,0
GCF_006517795.1,Vibrio parahaemolyticus,152,151,1,0
GCF_009665255.1,Vibrio metoecus,152,151,1,0
GCF_009883895.1,Vibrio parahaemolyticus,152,151,1,0
GCF_028551295.1,Vibrio parahaemolyticus,152,151,1,0
GCF_030064615.2,Vibrio parahaemolyticus,152,151,1,0
GCF_039658525.1,Vibrio parahaemolyticus,152,151,1,0
GCF_053294815.1,Vibrio parahaemolyticus,152,151,1,0
GCF_002953535.1,Vibrio alginolyticus,151,148,1,2
GCF_009763445.1,Vibrio parahaemolyticus,150,149,1,0
GCF_023650755.1,Vibrio sp. SCSIO 43097,150,148,1,1
GCF_030994565.1,Vibrio parahaemolyticus,150,149,0,1
GCF_053220555.1,Vibrio cholerae,150,149,1,0
GCF_053220575.1,Vibrio cholerae,150,149,1,0
GCF_049816165.1,Vibrio parahaemolyticus,149,148,1,0
GCF_054111865.1,Vibrio diabolicus,149,148,1,0
GCF_000788715.2,Vibrio cholerae,148,147,1,0
GCF_001854425.1,Vibrio cholerae,148,147,1,0
GCF_009938115.1,Vibrio cholerae O1,148,147,1,0
GCF_056135565.1,Vibrio parahaemolyticus,148,146,2,0
GCF_040126105.1,Vibrio parahaemolyticus,147,146,1,0
GCF_040556435.1,Vibrio cholerae,147,146,1,0
GCF_002953335.1,Vibrio diabolicus,146,144,1,1
GCF_900538065.1,Vibrio paracholerae,146,145,1,0
GCF_025917705.1,Vibrio parahaemolyticus,145,143,1,1
GCF_002906655.1,Vibrio hyugaensis,144,143,1,0
GCF_003691525.1,Vibrio parahaemolyticus,144,143,1,0
GCF_052375575.1,Vibrio parahaemolyticus,144,143,1,0
GCF_054875955.1,Vibrio parahaemolyticus,144,141,2,1
GCF_001558495.2,Vibrio parahaemolyticus,143,141,1,1
GCF_021730005.1,Vibrio parahaemolyticus,143,141,1,1
GCF_021730065.1,Vibrio parahaemolyticus,143,141,1,1
GCF_030995125.1,Vibrio alginolyticus,143,139,1,3
GCF_045287955.1,Vibrio parahaemolyticus,143,141,1,1
GCF_054850435.1,Vibrio sp. RC2502,143,142,1,0
GCF_055233655.1,Vibrio parahaemolyticus,143,141,1,1
GCF_058267735.1,Vibrio parahaemolyticus,143,142,1,0
GCF_009763925.1,Vibrio metschnikovii,142,141,1,0
GCF_028472865.1,Vibrio parahaemolyticus,142,140,1,1
GCF_002953355.1,Vibrio diabolicus,141,139,1,1
GCF_004194515.1,Vibrio parahaemolyticus,140,138,1,1
GCF_009665495.1,Vibrio parahaemolyticus,140,138,1,1
GCF_056892265.1,Vibrio alginolyticus,140,139,1,0
GCF_052805275.1,Vibrio campbellii,139,138,1,0
GCF_053220675.1,Vibrio cholerae,139,136,1,2
GCF_001879585.1,Vibrio parahaemolyticus,138,136,1,1
GCF_053220655.1,Vibrio cholerae,138,135,2,1
GCF_056770535.1,Vibrio cholerae,137,133,4,0
GCF_021397735.1,Vibrio harveyi,136,135,1,0
GCF_025258925.1,Vibrio cholerae,136,135,1,0
GCF_025258945.1,Vibrio cholerae,136,135,1,0
GCF_052076115.1,Vibrio harveyi,136,135,1,0
GCF_059941605.1,Vibrio parahaemolyticus,136,135,1,0
GCF_008693625.1,Vibrio parahaemolyticus,135,133,1,1
GCF_019321785.1,Vibrio parahaemolyticus,135,134,1,0
GCF_057396045.1,Vibrio parahaemolyticus,135,132,2,1
GCF_000765415.1,Vibrio cholerae,134,131,3,0
GCF_003719755.1,Vibrio cholerae,134,131,3,0
GCF_030064635.1,Vibrio parahaemolyticus,134,133,0,1
GCF_044905055.1,Vibrio cholerae,134,132,2,0
GCF_051131115.1,Vibrio parahaemolyticus,134,133,1,0
GCF_053220515.1,Vibrio cholerae,134,133,1,0
GCF_019704235.1,Vibrio cholerae,133,131,2,0
GCF_021431865.1,Vibrio cholerae,133,131,2,0
GCF_030994165.1,Vibrio parahaemolyticus,133,130,1,2
GCF_034008165.1,Vibrio cholerae,133,130,3,0
GCF_034008175.1,Vibrio cholerae,133,131,2,0
GCF_040969975.1,Vibrio diabolicus,133,132,1,0
GCF_043754845.1,Vibrio cholerae,133,132,1,0
GCF_047524955.2,Vibrio cholerae,133,130,3,0
GCF_053220715.1,Vibrio cholerae,133,132,1,0
GCF_056770475.1,Vibrio cholerae,133,130,3,0
GCF_937000105.1,Vibrio cholerae,133,130,3,0
GCF_000021605.1,Vibrio cholerae M66-2,132,131,1,0
GCF_000022585.1,Vibrio cholerae MJ-1236,132,129,2,1
GCF_000166455.1,Vibrio cholerae O1 str. 2010EL-1786,132,130,2,0
GCF_000275645.1,Vibrio cholerae H1,132,130,2,0
GCF_000963555.1,Vibrio cholerae O1 biovar El Tor,132,130,2,0
GCF_001318185.1,Vibrio cholerae O1 str. KW3,132,130,2,0
GCF_002946655.1,Vibrio cholerae O1 biovar El Tor,132,130,2,0
GCF_009799825.1,Vibrio cholerae,132,130,2,0
GCF_013085145.1,Vibrio cholerae O1 biovar El Tor,132,130,2,0
GCF_019458445.1,Vibrio cholerae,132,131,1,0
GCF_019704255.1,Vibrio cholerae,132,130,2,0
GCF_024734685.1,Vibrio cholerae,132,130,2,0
GCF_030718725.1,Vibrio cholerae,132,130,2,0
GCF_030718745.1,Vibrio cholerae,132,130,2,0
GCF_030718765.1,Vibrio cholerae,132,130,2,0
GCF_040412195.1,Vibrio cholerae,132,130,2,0
GCF_044905045.1,Vibrio cholerae,132,130,2,0
GCF_050500225.1,Vibrio cholerae,132,130,2,0
GCF_052806215.1,Vibrio parahaemolyticus,132,131,1,0
GCF_056770485.1,Vibrio cholerae,132,130,2,0
GCF_056770545.1,Vibrio cholerae,132,130,2,0
GCF_056770575.1,Vibrio cholerae,132,130,2,0
GCF_002117205.1,Vibrio vulnificus,131,129,1,1
GCF_024347655.1,Vibrio toranzoniae,131,127,1,3
GCF_032841475.3,Vibrio cholerae,131,130,1,0
GCF_000021625.1,Vibrio cholerae O395,130,128,1,1
GCF_041834225.2,Vibrio cholerae,130,128,2,0
GCF_051131125.1,Vibrio parahaemolyticus,130,129,1,0
GCF_057368455.1,Aliivibrio thorii,130,128,1,1
GCF_034480135.1,Vibrio parahaemolyticus,129,127,1,1
GCF_057625995.1,Vibrio harveyi,129,128,1,0
GCF_002290245.2,Vibrio parahaemolyticus,128,126,1,1
GCF_009763165.1,Vibrio parahaemolyticus,128,126,1,1
GCF_009763645.1,Vibrio parahaemolyticus,128,126,1,1
GCF_015168795.1,Vibrio cholerae,128,126,2,0
GCF_030062725.1,Vibrio cholerae,128,127,1,0
GCF_000016245.1,Vibrio cholerae O395,127,125,1,1
GCF_009763065.1,Vibrio cholerae,127,126,1,0
GCF_009763865.1,Vibrio metoecus,127,126,1,0
GCF_026000495.1,Vibrio sp. STUT-A16,127,124,1,2
GCF_052271875.1,Vibrio cholerae,127,125,1,1
GCF_013393885.1,Vibrio parahaemolyticus,126,125,1,0
GCF_023716625.1,Vibrio sp. SCSIO 43153,126,124,1,1
GCF_023983475.1,Aliivibrio fischeri ATCC 7744 = JCM 18803 = DSM 507,126,125,1,0
GCF_053220495.1,Vibrio cholerae,126,125,1,0
GCF_053220695.1,Vibrio cholerae,126,124,1,1
GCF_001244315.1,Vibrio parahaemolyticus,125,124,1,0
GCF_001887055.1,Vibrio parahaemolyticus,125,124,1,0
GCF_009646135.1,Vibrio cholerae O395,125,123,1,1
GCF_032463505.1,Vibrio alginolyticus,125,122,1,2
GCF_042604665.1,Vibrio cholerae,125,122,3,0
GCF_053890595.1,Vibrio proteolyticus,125,122,1,2
GCF_025917745.1,Vibrio parahaemolyticus,124,123,1,0
GCF_049816605.1,Vibrio parahaemolyticus,124,123,1,0
GCF_052956585.1,Vibrio cholerae,124,122,2,0
GCF_058315275.1,Vibrio parahaemolyticus,124,123,1,0
GCF_009763505.1,Vibrio parahaemolyticus,123,121,1,1
GCF_009763525.1,Vibrio parahaemolyticus,123,121,1,1
GCF_048284885.2,Vibrio parahaemolyticus,123,122,1,0
GCF_053154035.1,Vibrio harveyi,123,121,1,1
GCF_001996365.2,Vibrio parahaemolyticus,122,121,1,0
GCF_003612715.1,Vibrio parahaemolyticus,122,119,1,2
GCF_023277445.1,Vibrio sp. ED002,122,120,1,1
GCF_053220635.1,Vibrio cholerae,122,120,2,0
GCF_002313025.1,Vibrio cholerae,121,120,1,0
GCF_009762945.1,Vibrio cholerae,121,120,1,0
GCF_045004295.1,Vibrio campbellii,121,120,1,0
GCF_050920685.1,Vibrio parahaemolyticus,121,120,1,0
GCF_051903285.1,Vibrio cholerae,121,119,1,1
GCF_009184745.1,Vibrio harveyi,120,118,1,1
GCF_023650915.1,Vibrio alginolyticus,120,119,1,0
GCF_002216685.1,Vibrio tarriae,119,116,1,2
GCF_019458465.1,Vibrio cholerae,119,117,2,0
GCF_019670485.1,Vibrio alfacsensis,119,118,1,0
GCF_024347535.1,Vibrio kanaloae,119,114,1,4
GCF_000430425.1,Vibrio parahaemolyticus O1:K33 str. CDC_K4557,118,117,1,0
GCF_031883075.1,Vibrio vulnificus,118,117,1,0
GCF_051903295.1,Vibrio cholerae,118,116,1,1
GCF_002220985.3,Vibrio parahaemolyticus,117,115,1,1
GCF_009763605.1,Vibrio parahaemolyticus,117,115,1,1
GCF_009763825.1,Vibrio cholerae,117,116,1,0
GCF_023205895.1,Vibrio parahaemolyticus,117,116,1,0
GCF_900324425.1,Vibrio cholerae,117,116,1,0
GCF_900324445.1,Vibrio cholerae,117,116,1,0
GCF_011801455.1,Vibrio diabolicus,116,113,1,2
GCF_013462495.1,Vibrio cholerae,116,115,1,0
GCF_017948345.1,Vibrio cholerae MO10,116,115,1,0
GCF_058119545.1,Vibrio alginolyticus,116,114,1,1
GCF_059427945.1,Vibrio parahaemolyticus,116,111,1,4
GCF_900324455.1,Vibrio cholerae,116,115,1,0
GCF_001433415.1,Vibrio parahaemolyticus,115,112,1,2
GCF_009763705.1,Vibrio cincinnatiensis,115,112,1,2
GCF_040805305.1,Vibrio cholerae,115,111,2,2
GCF_042848055.1,Vibrio harveyi,115,113,1,1
GCF_057368635.1,Aliivibrio logei,114,112,1,1
GCF_000568495.1,Vibrio parahaemolyticus UCM-V493,113,112,1,0
GCF_034480485.1,Vibrio parahaemolyticus,113,110,1,2
GCF_009883875.1,Vibrio parahaemolyticus,112,110,1,1
GCF_003312585.1,Vibrio campbellii,111,99,1,11
GCF_009763625.1,Vibrio parahaemolyticus,111,110,1,0
GCF_023716605.1,Vibrio sp. SCSIO 43155,111,110,1,0
GCF_025994915.1,Vibrio vulnificus,111,110,1,0
GCF_030238725.2,Vibrio parahaemolyticus,111,110,1,0
GCF_964264695.1,Aliivibrio logei,111,109,1,1
GCF_008693745.1,Vibrio parahaemolyticus,110,108,1,1
GCF_009764075.1,Vibrio parahaemolyticus,110,108,1,1
GCF_030060435.1,Vibrio harveyi,110,109,1,0
GCF_002310335.1,Vibrio anguillarum,109,103,1,5
GCF_003574155.1,Vibrio cholerae,109,107,2,0
GCF_014274185.1,Vibrio alginolyticus,109,106,2,1
GCF_040235185.1,Vibrio metschnikovii,109,108,1,0
GCF_055393305.1,Vibrio sp. JCM 18905,109,107,1,1
GCF_044496695.1,Vibrio campbellii,108,105,1,2
GCF_004328575.1,Vibrio cholerae,107,106,1,0
GCF_028551315.1,Vibrio harveyi,107,106,1,0
GCF_003691545.1,Vibrio owensii,106,105,1,0
GCF_023205955.1,Vibrio parahaemolyticus,106,103,1,2
GCF_034480305.1,Vibrio alginolyticus,106,103,1,2
GCF_045278325.1,Vibrio parahaemolyticus,106,103,3,0
GCF_057730815.1,Aliivibrio fischeri,106,105,1,0
GCF_001188185.2,Vibrio parahaemolyticus,105,103,1,1
GCF_009649015.1,Vibrio parahaemolyticus 10329,105,103,1,1
GCF_009883835.1,Vibrio parahaemolyticus,105,103,1,1
GCF_046097525.1,Vibrio cholerae,105,104,1,0
GCF_059772105.1,Vibrio jasicida,105,104,1,0
GCF_001636035.1,Vibrio parahaemolyticus,104,102,1,1
GCF_024582835.1,Vibrio japonicus,104,102,1,1
GCF_040869035.2,Vibrio sp. NTOU-M3,104,102,1,1
GCF_043995865.1,Vibrio sp. D3,104,103,1,0
GCF_045004305.1,Vibrio campbellii,104,103,1,0
GCF_001262735.2,Vibrio harveyi,103,102,1,0
GCF_002163755.1,Vibrio campbellii CAIM 519 = NBRC 15631 = ATCC 25920,103,96,1,6
GCF_022343105.1,Vibrio alginolyticus,103,101,1,1
GCF_024971935.1,Vibrio harveyi,103,102,1,0
GCF_056674835.1,Vibrio alginolyticus,103,101,1,1
GCF_001558435.2,Vibrio harveyi,102,101,1,0
GCF_023169605.1,Vibrio alginolyticus,102,99,1,2
GCF_024442175.1,Vibrio campbellii,102,95,1,6
GCF_030998145.1,Vibrio parahaemolyticus,102,100,1,1
GCF_009763485.1,Vibrio cincinnatiensis,101,98,1,2
GCF_013357605.1,Vibrio cholerae,101,100,1,0
GCF_029635775.1,Vibrio misgurnus,101,100,1,0
GCF_001758605.1,Vibrio parahaemolyticus,100,97,1,2
GCF_009763045.1,Vibrio cholerae,100,99,0,1
GCF_023206775.1,Vibrio alginolyticus,100,98,1,1
GCF_054512795.1,Vibrio harveyi,100,97,1,2
GCF_055389885.1,Vibrio cholerae,100,99,1,0
GCF_059910985.1,Vibrio sinaloensis,100,97,1,2
GCF_045004265.1,Vibrio campbellii,99,98,1,0
GCF_045004285.1,Vibrio campbellii,99,98,1,0
GCF_053220585.1,Vibrio cholerae,99,97,1,1
GCF_057368575.1,Aliivibrio thorii,99,97,1,1
GCF_057368585.1,Aliivibrio thorii,99,97,1,1
GCF_905175335.1,Vibrio sp. B1FIG11,99,98,1,0
GCF_023206515.1,Vibrio parahaemolyticus,98,97,1,0
GCF_023716565.1,Vibrio sp. SCSIO 43136,98,96,1,1
GCF_056934295.1,Vibrio parahaemolyticus,98,95,1,2
GCF_001908435.2,Vibrio harveyi,97,93,1,3
GCF_011801435.1,Vibrio alginolyticus,97,96,1,0
GCF_028898705.1,Vibrio harveyi,97,96,1,0
GCF_051175305.1,Vibrio scophthalmi,97,95,0,2
GCF_023169825.1,Vibrio cholerae,96,95,1,0
GCF_049816175.1,Vibrio campbellii,96,95,1,0
GCF_050888945.2,Vibrio parahaemolyticus,96,95,1,0
GCF_937000115.1,Vibrio cholerae,96,94,2,0
GCF_000430405.1,Vibrio parahaemolyticus O1:Kuk str. FDA_R31,95,93,1,1
GCF_009762895.1,Vibrio cholerae,95,94,1,0
GCF_029958905.1,Vibrio sp. YMD68,95,94,1,0
GCF_033441435.1,Vibrio parahaemolyticus,95,94,1,0
GCF_002887655.1,Vibrio owensii,94,93,1,0
GCF_905175355.1,Vibrio sp. B1ASS3,94,92,1,1
GCF_052747775.1,Vibrio parahaemolyticus,93,91,1,1
GCF_000770115.1,Vibrio harveyi,92,91,1,0
GCF_030059845.1,Vibrio parahaemolyticus,92,90,1,1
GCF_057368475.1,Aliivibrio friggae,92,90,1,1
GCF_057368495.1,Aliivibrio friggae,92,90,1,1
GCF_057368515.1,Aliivibrio friggae,92,90,1,1
GCF_057368525.1,Aliivibrio friggae,92,89,1,2
GCF_000969235.1,Vibrio cholerae,91,89,1,1
GCF_000969265.1,Vibrio cholerae,91,89,1,1
GCF_001767355.1,Vibrio mimicus,91,90,1,0
GCF_002906455.1,Vibrio campbellii,91,87,0,4
GCF_002287545.1,Vibrio anguillarum,90,87,1,2
GCF_009763665.1,Vibrio cholerae,90,88,1,1
GCF_013357885.1,Vibrio cholerae,90,88,1,1
GCF_028898725.1,Vibrio harveyi,90,88,1,1
GCF_049816615.1,Vibrio owensii,90,89,1,0
GCF_001687805.1,Vibrio scophthalmi,89,88,0,1
GCF_001969325.1,Vibrio campbellii,89,88,1,0
GCF_002140055.1,Vibrio campbellii,89,88,1,0
GCF_002291265.1,Vibrio anguillarum,89,86,1,2
GCF_025917725.1,Vibrio owensii,89,88,1,0
GCF_028898685.1,Vibrio harveyi,89,87,1,1
GCF_039542195.1,Vibrio harveyi,89,88,1,0
GCF_049817095.1,Vibrio owensii,89,88,1,0
