genome_a,genome_b,species_a,species_b,mash_dist,n_shared,mtf_distance,random_mean
GCF_000006745.1,GCF_001887495.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00052,92,27,90.31
GCF_000006745.1,GCF_001887515.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00213,85,36,83.35
GCF_000006745.1,GCF_001887615.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00186,72,32,70.29
GCF_000006745.1,GCF_001887635.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00110,72,45,70.29
GCF_000006745.1,GCF_001887655.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00060,94,26,92.26
GCF_000006745.1,GCF_002073335.2,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00002,104,0,102.33
GCF_000006745.1,GCF_002212005.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio anguillarum,0.20935,10,9,8.35
GCF_000006745.1,GCF_002212025.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio anguillarum,0.21090,17,15,15.42
GCF_000006745.1,GCF_002257545.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio qinghaiensis,0.20293,12,10,10.26
GCF_000006745.1,GCF_002287545.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio anguillarum,0.20711,10,9,8.35
GCF_000006745.1,GCF_002749635.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00024,106,30,104.31
GCF_000006745.1,GCF_002892855.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00049,103,28,101.44
GCF_000006745.1,GCF_002946655.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae O1 biovar El Tor,0.00076,87,77,85.35
GCF_000006745.1,GCF_002997215.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00049,103,28,101.44
GCF_000006745.1,GCF_003063785.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00002,104,0,102.33
GCF_000006745.1,GCF_003063885.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01787,17,16,15.42
GCF_000006745.1,GCF_003097695.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00050,103,28,101.44
GCF_000006745.1,GCF_003399575.2,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio anguillarum,0.20711,10,9,8.35
GCF_000006745.1,GCF_003574155.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00040,80,70,78.34
GCF_000006745.1,GCF_003719755.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00173,88,87,86.21
GCF_000006745.1,GCF_003942025.1,Vibrio cholerae O1 biovar El Tor str. N16961,Aliivibrio salmonicida,0.27670,10,9,8.35
GCF_000006745.1,GCF_004328575.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01509,22,17,20.38
GCF_000006745.1,GCF_008369605.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01665,20,17,18.30
GCF_000006745.1,GCF_008693685.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio vulnificus,0.21332,10,9,8.35
GCF_000006745.1,GCF_009646135.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae O395,0.00557,65,25,63.39
GCF_000006745.1,GCF_009665195.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio mimicus,0.10419,12,10,10.26
GCF_000006745.1,GCF_009665255.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio metoecus,0.07915,11,9,9.41
GCF_000006745.1,GCF_009665275.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio metoecus,0.08729,16,14,14.40
GCF_000006745.1,GCF_009665415.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cidicii,0.20360,12,9,10.26
GCF_000006745.1,GCF_009762895.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01739,12,11,10.26
GCF_000006745.1,GCF_009762915.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01916,19,18,17.29
GCF_000006745.1,GCF_009762945.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01722,13,12,11.43
GCF_000006745.1,GCF_009762965.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01868,16,15,14.40
GCF_000006745.1,GCF_009762985.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00248,63,13,61.17
GCF_000006745.1,GCF_009763045.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01736,11,10,9.41
GCF_000006745.1,GCF_009763065.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01772,14,11,12.43
GCF_000006745.1,GCF_009763665.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01840,11,8,9.41
GCF_000006745.1,GCF_009763825.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00151,83,73,81.16
GCF_000006745.1,GCF_009763905.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio metoecus,0.08709,10,8,8.35
GCF_000006745.1,GCF_009763945.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae C6706,0.00049,103,101,101.44
GCF_000006745.1,GCF_009764025.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio mimicus,0.10766,10,7,8.35
GCF_000006745.1,GCF_009799825.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00124,87,77,85.35
GCF_000006745.1,GCF_009938115.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae O1,0.01003,45,16,43.23
GCF_000006745.1,GCF_013085075.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae C6706,0.00050,102,28,100.21
GCF_000006745.1,GCF_013085105.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae O1 biovar El Tor,0.00053,103,28,101.44
GCF_000006745.1,GCF_013085125.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae O1 biovar El Tor,0.00004,102,0,100.21
GCF_000006745.1,GCF_013085145.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae O1 biovar El Tor,0.00075,88,78,86.21
GCF_000006745.1,GCF_013085165.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae O1 biovar El Tor,0.00024,105,30,103.36
GCF_000006745.1,GCF_013357605.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01582,22,15,20.38
GCF_000006745.1,GCF_013357625.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01827,19,18,17.29
GCF_000006745.1,GCF_013357645.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01765,16,13,14.40
GCF_000006745.1,GCF_013357665.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01707,22,17,20.38
GCF_000006745.1,GCF_013357685.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01906,16,15,14.40
GCF_000006745.1,GCF_013357725.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01840,14,13,12.43
GCF_000006745.1,GCF_013357745.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01902,13,12,11.43
GCF_000006745.1,GCF_013357765.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01843,15,13,13.29
GCF_000006745.1,GCF_013357785.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.02044,21,19,19.45
GCF_000006745.1,GCF_013357805.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.02045,22,19,20.38
GCF_000006745.1,GCF_013357825.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01979,13,10,11.43
GCF_000006745.1,GCF_013357845.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.02022,17,14,15.42
GCF_000006745.1,GCF_013357865.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01948,13,10,11.43
GCF_000006745.1,GCF_013357885.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01848,18,17,16.26
GCF_000006745.1,GCF_013462495.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00212,81,71,79.34
GCF_000006745.1,GCF_014211935.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio vulnificus,0.21677,13,10,11.43
GCF_000006745.1,GCF_015168795.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01660,16,15,14.40
GCF_000006745.1,GCF_015482825.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae C6706,0.00050,102,28,100.21
GCF_000006745.1,GCF_015767675.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio navarrensis,0.20360,19,18,17.29
GCF_000006745.1,GCF_017948285.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00049,103,28,101.44
GCF_000006745.1,GCF_017948345.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae MO10,0.00126,84,74,82.22
GCF_000006745.1,GCF_018336415.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae O37,0.00540,67,22,65.34
GCF_000006745.1,GCF_019458445.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00038,88,78,86.21
GCF_000006745.1,GCF_019458465.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01684,21,14,19.45
GCF_000006745.1,GCF_019704235.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00085,85,84,83.35
GCF_000006745.1,GCF_019704255.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00075,87,78,85.35
GCF_000006745.1,GCF_021431865.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00101,87,86,85.35
GCF_000006745.1,GCF_021431945.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01742,22,20,20.38
GCF_000006745.1,GCF_024734685.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00083,89,79,87.27
GCF_000006745.1,GCF_025258925.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01951,11,8,9.41
GCF_000006745.1,GCF_025258945.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01951,11,8,9.41
GCF_000006745.1,GCF_025397955.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio sp. J502,0.20711,10,9,8.35
GCF_000006745.1,GCF_026013235.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01536,19,17,17.29
GCF_000006745.1,GCF_030062725.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00017,86,85,84.17
GCF_000006745.1,GCF_030718725.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00075,88,78,86.21
GCF_000006745.1,GCF_030718745.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00075,88,78,86.21
GCF_000006745.1,GCF_030718765.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00077,88,87,86.21
GCF_000006745.1,GCF_030718785.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.03513,19,18,17.29
GCF_000006745.1,GCF_032027525.2,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01720,17,15,15.42
GCF_000006745.1,GCF_032841475.3,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01593,16,12,14.40
GCF_000006745.1,GCF_032841535.3,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01863,10,7,8.35
GCF_000006745.1,GCF_033803245.2,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.03281,17,14,15.42
GCF_000006745.1,GCF_034008165.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00156,86,85,84.17
GCF_000006745.1,GCF_034008175.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00078,86,85,84.17
GCF_000006745.1,GCF_037101305.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01864,17,14,15.42
GCF_000006745.1,GCF_039602145.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01824,16,15,14.40
GCF_000006745.1,GCF_040412195.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00122,87,86,85.35
GCF_000006745.1,GCF_040556435.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00172,56,48,54.25
GCF_000006745.1,GCF_040735825.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01801,17,16,15.42
GCF_000006745.1,GCF_041834225.2,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00084,88,87,86.21
GCF_000006745.1,GCF_042604665.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00158,84,74,82.22
GCF_000006745.1,GCF_043754845.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00052,63,8,61.17
GCF_000006745.1,GCF_043755855.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00024,105,30,103.36
GCF_000006745.1,GCF_043756065.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00003,104,30,102.33
GCF_000006745.1,GCF_043756335.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00024,104,30,102.33
GCF_000006745.1,GCF_043757505.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00033,95,30,93.35
GCF_000006745.1,GCF_043757815.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00022,86,0,84.17
GCF_000006745.1,GCF_043758405.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00018,105,30,103.36
GCF_000006745.1,GCF_043759795.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00023,104,30,102.33
GCF_000006745.1,GCF_043760105.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00031,95,27,93.35
GCF_000006745.1,GCF_043760675.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00031,98,29,96.19
GCF_000006745.1,GCF_043762865.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00035,88,27,86.21
GCF_000006745.1,GCF_043763295.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00034,94,27,92.26
GCF_000006745.1,GCF_043763905.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00047,72,21,70.29
GCF_000006745.1,GCF_043765735.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00036,93,27,91.36
GCF_000006745.1,GCF_043766185.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00003,103,0,101.44
GCF_000006745.1,GCF_043766955.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00035,95,27,93.35
GCF_000006745.1,GCF_043769025.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00017,105,30,103.36
GCF_000006745.1,GCF_044343075.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00033,103,0,101.44
GCF_000006745.1,GCF_044343085.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00036,105,30,103.36
GCF_000006745.1,GCF_044343165.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00051,105,89,103.36
GCF_000006745.1,GCF_044905045.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00142,89,79,87.27
GCF_000006745.1,GCF_044905055.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00130,87,72,85.35
GCF_000006745.1,GCF_045689275.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01892,17,16,15.42
GCF_000006745.1,GCF_045689325.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae V52,0.00543,68,24,66.37
GCF_000006745.1,GCF_046097525.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01890,12,10,10.26
GCF_000006745.1,GCF_046736365.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae C6706,0.00050,103,28,101.44
GCF_000006745.1,GCF_046850195.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio aestuarianus subsp. francensis,0.22668,17,12,15.42
GCF_000006745.1,GCF_047221425.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01758,13,11,11.43
GCF_000006745.1,GCF_047524955.2,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00156,86,85,84.17
GCF_000006745.1,GCF_049315005.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio anguillarum,0.21011,10,8,8.35
GCF_000006745.1,GCF_050500225.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00085,87,77,85.35
GCF_000006745.1,GCF_051046905.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01829,17,13,15.42
GCF_000006745.1,GCF_051903285.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00553,62,22,60.11
GCF_000006745.1,GCF_051903295.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00554,62,15,60.11
GCF_000006745.1,GCF_052271875.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00554,66,25,64.29
GCF_000006745.1,GCF_052545415.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01595,12,10,10.26
GCF_000006745.1,GCF_052956585.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00086,80,70,78.34
GCF_000006745.1,GCF_053202865.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01932,21,19,19.45
GCF_000006745.1,GCF_053220475.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01623,18,13,16.26
GCF_000006745.1,GCF_053220495.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01722,18,17,16.26
GCF_000006745.1,GCF_053220515.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01590,23,22,21.19
GCF_000006745.1,GCF_053220535.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01772,21,19,19.45
GCF_000006745.1,GCF_053220555.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01865,20,17,18.30
GCF_000006745.1,GCF_053220575.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01865,20,17,18.30
GCF_000006745.1,GCF_053220585.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01609,14,13,12.43
GCF_000006745.1,GCF_053220615.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01748,15,13,13.29
GCF_000006745.1,GCF_053220635.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01652,21,19,19.45
GCF_000006745.1,GCF_053220655.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01674,23,22,21.19
GCF_000006745.1,GCF_053220675.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01646,21,20,19.45
GCF_000006745.1,GCF_053220695.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01671,17,16,15.42
GCF_000006745.1,GCF_053220715.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01644,23,22,21.19
GCF_000006745.1,GCF_054112565.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio metschnikovii,0.23381,12,9,10.26
GCF_000006745.1,GCF_054906185.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01659,17,15,15.42
GCF_000006745.1,GCF_055389885.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01745,11,7,9.41
GCF_000006745.1,GCF_055797365.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01846,16,15,14.40
GCF_000006745.1,GCF_056770475.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00156,89,79,87.27
GCF_000006745.1,GCF_056770485.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00083,89,79,87.27
GCF_000006745.1,GCF_056770535.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00186,89,79,87.27
GCF_000006745.1,GCF_056770545.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00085,89,79,87.27
GCF_000006745.1,GCF_056770575.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00083,89,79,87.27
GCF_000006745.1,GCF_058215515.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01647,17,16,15.42
GCF_000006745.1,GCF_900185995.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01738,13,11,11.43
GCF_000006745.1,GCF_900205735.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae O1 biovar El Tor str. N16961,0.00002,106,0,104.31
GCF_000006745.1,GCF_900324425.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00124,83,73,81.16
GCF_000006745.1,GCF_900324435.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.03348,16,14,14.40
GCF_000006745.1,GCF_900324445.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00124,83,73,81.16
GCF_000006745.1,GCF_900324455.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00124,83,73,81.16
GCF_000006745.1,GCF_900538065.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio paracholerae,0.03535,21,19,19.45
GCF_000006745.1,GCF_937000105.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00156,88,78,86.21
GCF_000009745.1,GCF_000039765.1,Vibrio vulnificus YJ016,Vibrio vulnificus CMCP6,0.01824,12,10,10.26
GCF_000009745.1,GCF_000746665.1,Vibrio vulnificus YJ016,Vibrio vulnificus,0.01758,11,7,9.41
GCF_000009745.1,GCF_001433435.1,Vibrio vulnificus YJ016,Vibrio vulnificus,0.01955,12,10,10.26
GCF_000009745.1,GCF_001558475.2,Vibrio vulnificus YJ016,Vibrio mimicus,0.21767,12,10,10.26
GCF_000009745.1,GCF_001558515.2,Vibrio vulnificus YJ016,Vibrio vulnificus,0.01837,20,18,18.30
GCF_000009745.1,GCF_001653775.1,Vibrio vulnificus YJ016,Vibrio vulnificus,0.01955,11,9,9.41
GCF_000009745.1,GCF_001675245.1,Vibrio vulnificus YJ016,Vibrio vulnificus,0.01822,13,10,11.43
GCF_000009745.1,GCF_002117205.1,Vibrio vulnificus YJ016,Vibrio vulnificus,0.02153,15,13,13.29
GCF_000009745.1,GCF_002215135.1,Vibrio vulnificus YJ016,Vibrio vulnificus,0.04228,11,8,9.41
GCF_000009745.1,GCF_002224265.1,Vibrio vulnificus YJ016,Vibrio vulnificus NBRC 15645 = ATCC 27562,0.04079,14,10,12.43
GCF_000009745.1,GCF_002850455.1,Vibrio vulnificus YJ016,Vibrio vulnificus,0.01772,21,19,19.45
