accession,species,cassettes,defence_systems
GCF_001969325.1,Vibrio campbellii,88,5
GCF_051859665.1,Vibrio alginolyticus,82,5
GCF_052805275.1,Vibrio campbellii,138,5
GCF_056892265.1,Vibrio alginolyticus,139,5
GCF_009762965.1,Vibrio cholerae,237,5
GCF_009764055.1,Vibrio parahaemolyticus,196,5
GCF_009763625.1,Vibrio parahaemolyticus,110,5
GCF_052375575.1,Vibrio parahaemolyticus,143,5
GCF_045004295.1,Vibrio campbellii,120,5
GCF_045586155.1,Vibrio diabolicus,171,5
GCF_000354175.2,Vibrio alginolyticus NBRC 15630 = ATCC 17749,82,5
GCF_001653775.1,Vibrio vulnificus,222,5
GCF_056934295.1,Vibrio parahaemolyticus,95,5
GCF_002204915.1,Vibrio vulnificus,234,5
GCF_058119545.1,Vibrio alginolyticus,114,5
GCF_000969265.1,Vibrio cholerae,89,5
GCF_025917705.1,Vibrio parahaemolyticus,143,5
GCF_053202865.1,Vibrio cholerae,197,5
GCF_000430405.1,Vibrio parahaemolyticus O1:Kuk str. FDA_R31,93,5
GCF_002140055.1,Vibrio campbellii,88,5
GCF_009665315.1,Vibrio harveyi,75,5
GCF_052772185.1,Vibrio parahaemolyticus,157,5
GCF_030994225.1,Vibrio parahaemolyticus,53,4
GCF_033803245.2,Vibrio cholerae,176,4
GCF_030704285.1,Vibrio parahaemolyticus,162,4
GCF_020041945.1,Vibrio parahaemolyticus,153,4
GCF_049816165.1,Vibrio parahaemolyticus,148,4
GCF_023716545.1,Vibrio sp. SCSIO 43139,181,4
GCF_023205895.1,Vibrio parahaemolyticus,116,4
GCF_023716645.1,Vibrio sp. SCSIO 43145,215,4
GCF_036553415.2,Vibrio mimicus,247,4
GCF_009762915.1,Vibrio cholerae,175,4
GCF_034480505.1,Vibrio parahaemolyticus,53,4
GCF_023277445.1,Vibrio sp. ED002,120,4
GCF_032027525.2,Vibrio cholerae,184,4
GCF_059552575.1,Photobacterium sp. HL06,41,4
GCF_049817095.1,Vibrio owensii,88,4
GCF_003691525.1,Vibrio parahaemolyticus,143,4
GCF_023716705.1,Vibrio sp. SCSIO 43186,181,4
GCF_009763705.1,Vibrio cincinnatiensis,112,4
GCF_054568155.3,Vibrio parahaemolyticus,79,4
GCF_049810405.1,Vibrio owensii,71,4
GCF_022343125.1,Vibrio alginolyticus,78,4
GCF_022869905.1,Vibrio furnissii,59,4
GCF_004194515.1,Vibrio parahaemolyticus,138,4
GCF_024449095.1,Vibrio coralliilyticus,181,4
GCF_905175355.1,Vibrio sp. B1ASS3,92,4
GCF_028885585.1,Vibrio harveyi,82,4
GCF_057321345.1,Vibrio parahaemolyticus,79,4
GCF_011801435.1,Vibrio alginolyticus,96,4
GCF_055393305.1,Vibrio sp. JCM 18905,107,4
GCF_049315005.1,Vibrio anguillarum,251,4
GCF_046581405.1,Vibrio vulnificus,86,4
GCF_028609665.1,Vibrio parahaemolyticus,82,4
GCF_042940635.1,Vibrio sp. NH-UV-68,200,4
GCF_033573735.1,Vibrio parahaemolyticus,82,4
GCF_013368735.1,Vibrio alginolyticus,84,4
GCF_040126105.1,Vibrio parahaemolyticus,146,4
GCF_057625995.1,Vibrio harveyi,128,4
GCF_001310575.2,Vibrio owensii,71,4
GCF_001995825.2,Vibrio kanaloae,162,4
GCF_059772125.1,Vibrio jasicida,153,4
GCF_028885545.1,Vibrio harveyi,82,4
GCF_009734325.1,Vibrio parahaemolyticus,154,4
GCF_045004315.1,Vibrio campbellii,79,4
GCF_025917725.1,Vibrio owensii,88,4
GCF_052747775.1,Vibrio parahaemolyticus,91,4
GCF_009763865.1,Vibrio metoecus,126,4
GCF_030994185.1,Vibrio parahaemolyticus,204,4
GCF_001558435.2,Vibrio harveyi,101,4
GCF_038253855.1,Vibrio parahaemolyticus,205,4
GCF_003085735.1,Vibrio parahaemolyticus,151,4
GCF_039658525.1,Vibrio parahaemolyticus,151,4
GCF_006364355.1,Vibrio furnissii,59,4
GCF_022343185.1,Vibrio alginolyticus,62,4
GCF_026650865.1,Vibrio parahaemolyticus,179,4
GCF_003595585.1,Vibrio anguillarum,277,4
GCF_014211935.1,Vibrio vulnificus,227,4
GCF_030064615.2,Vibrio parahaemolyticus,151,4
GCF_053220635.1,Vibrio cholerae,120,4
GCF_009665495.1,Vibrio parahaemolyticus,138,4
GCF_019458465.1,Vibrio cholerae,117,4
GCF_015779285.1,Vibrio parahaemolyticus,153,4
GCF_034428235.1,Vibrio alfacsensis,74,4
GCF_034480485.1,Vibrio parahaemolyticus,110,4
GCF_051131115.1,Vibrio parahaemolyticus,133,4
GCF_022343205.1,Vibrio alginolyticus,160,4
GCF_009665415.1,Vibrio cidicii,204,4
GCF_028551295.1,Vibrio parahaemolyticus,151,4
GCF_001758605.1,Vibrio parahaemolyticus,97,4
GCF_051122595.1,Vibrio sp. K4,51,4
GCF_002220985.3,Vibrio parahaemolyticus,115,4
GCF_023169625.1,Vibrio alginolyticus,163,4
GCF_023205915.1,Vibrio parahaemolyticus,65,4
GCF_021730085.1,Vibrio parahaemolyticus,223,4
GCF_044496695.1,Vibrio campbellii,105,4
GCF_009763065.1,Vibrio cholerae,126,4
GCF_053220675.1,Vibrio cholerae,136,4
GCF_040869035.2,Vibrio sp. NTOU-M3,102,4
GCF_057368435.1,Aliivibrio friggae,71,4
GCF_014107515.1,Vibrio vulnificus,255,4
GCF_028743655.1,Vibrio campbellii,47,4
GCF_009883895.1,Vibrio parahaemolyticus,151,4
GCF_002215135.1,Vibrio vulnificus,205,4
GCF_000009745.1,Vibrio vulnificus YJ016,185,4
GCF_059941805.1,Vibrio parahaemolyticus,190,4
GCF_030994145.1,Vibrio parahaemolyticus,205,4
GCF_001636035.1,Vibrio parahaemolyticus,102,4
GCF_034480095.1,Vibrio parahaemolyticus,205,4
GCF_049818045.1,Vibrio parahaemolyticus,85,4
GCF_009665215.1,Vibrio navarrensis,191,4
GCF_002214395.1,Vibrio rotiferianus,66,4
GCF_053294815.1,Vibrio parahaemolyticus,151,4
GCF_030718785.1,Vibrio cholerae,177,4
GCF_001304775.1,Vibrio parahaemolyticus,257,4
GCF_003612715.1,Vibrio parahaemolyticus,119,4
GCF_009763605.1,Vibrio parahaemolyticus,115,4
GCF_022343165.1,Vibrio alginolyticus,83,4
GCF_059772105.1,Vibrio jasicida,104,4
GCF_029635775.1,Vibrio misgurnus,100,3
GCF_021730005.1,Vibrio parahaemolyticus,141,3
GCF_041714635.1,Vibrio porteresiae,17,3
GCF_057730795.1,Aliivibrio fischeri,50,3
GCF_002224265.1,Vibrio vulnificus NBRC 15645 = ATCC 27562,217,3
GCF_045689275.1,Vibrio cholerae,309,3
GCF_025994915.1,Vibrio vulnificus,110,3
GCF_021730065.1,Vibrio parahaemolyticus,141,3
GCF_059941605.1,Vibrio parahaemolyticus,135,3
GCF_022343105.1,Vibrio alginolyticus,101,3
GCF_001469735.1,Vibrio alginolyticus,68,3
GCF_030994165.1,Vibrio parahaemolyticus,130,3
GCF_059692255.1,Vibrio cholerae,47,3
GCF_028898625.1,Vibrio harveyi,79,3
GCF_001547935.1,Vibrio tritonius,6,3
GCF_057439735.1,Vibrio owensii,49,3
GCF_037997145.1,Vibrio harveyi,63,3
GCF_003691505.1,Vibrio owensii,48,3
GCF_024442215.1,Vibrio campbellii,54,3
GCF_058315275.1,Vibrio parahaemolyticus,123,3
GCF_045004285.1,Vibrio campbellii,98,3
GCF_022453845.1,Vibrio campbellii,45,3
GCF_000186585.1,Vibrio vulnificus MO6-24/O,181,3
GCF_024442155.1,Vibrio campbellii,151,3
GCF_046532685.1,Vibrio parahaemolyticus,43,3
GCF_039658545.1,Vibrio parahaemolyticus,74,3
GCF_002887655.1,Vibrio owensii,93,3
GCF_057784735.1,Vibrio sp. TAP-3B,27,3
GCF_009764025.1,Vibrio mimicus,188,3
GCF_021729985.1,Vibrio parahaemolyticus,195,3
GCF_008693745.1,Vibrio parahaemolyticus,108,3
GCF_000772065.1,Vibrio coralliilyticus,38,3
GCF_001433415.1,Vibrio parahaemolyticus,112,3
GCF_023983475.1,Aliivibrio fischeri ATCC 7744 = JCM 18803 = DSM 507,125,3
GCF_019670025.1,Vibrio alfacsensis,58,3
GCF_028898705.1,Vibrio harveyi,96,3
GCF_039544385.1,Vibrio harveyi,79,3
GCF_001908435.2,Vibrio harveyi,93,3
GCF_000969235.1,Vibrio cholerae,89,3
GCF_021431945.1,Vibrio cholerae,166,3
GCF_008693685.1,Vibrio vulnificus,221,3
GCF_024971935.1,Vibrio harveyi,102,3
GCF_057476815.1,Vibrio alginolyticus,68,3
GCF_013357625.1,Vibrio cholerae,188,3
GCF_047221425.1,Vibrio cholerae,56,3
GCF_055233655.1,Vibrio parahaemolyticus,141,3
GCF_045278325.1,Vibrio parahaemolyticus,103,3
GCF_045004265.1,Vibrio campbellii,98,3
GCF_008693625.1,Vibrio parahaemolyticus,133,3
GCF_030998145.1,Vibrio parahaemolyticus,100,3
GCF_009764075.1,Vibrio parahaemolyticus,108,3
GCF_001558495.2,Vibrio parahaemolyticus,141,3
GCF_026651645.1,Vibrio alginolyticus,82,3
GCF_053220585.1,Vibrio cholerae,97,3
GCF_015168795.1,Vibrio cholerae,126,3
GCF_034480135.1,Vibrio parahaemolyticus,127,3
GCF_002021755.1,Vibrio owensii,53,3
GCF_057730775.1,Aliivibrio fischeri,50,3
GCF_013357645.1,Vibrio cholerae,203,3
GCF_051352415.1,Vibrio cidicii,280,3
GCF_024347055.1,Vibrio porteresiae DSM 19223,17,3
GCF_013357665.1,Vibrio cholerae,167,3
GCF_052076135.1,Vibrio sp. Vf1514,69,3
GCF_057730755.1,Aliivibrio fischeri,50,3
GCF_056824445.1,Vibrio rotiferianus,68,3
GCF_053220695.1,Vibrio cholerae,124,3
GCF_024346995.1,Vibrio palustris,21,3
GCF_000772105.1,Vibrio tubiashii ATCC 19109,32,3
GCF_028472865.1,Vibrio parahaemolyticus,140,3
GCF_024347495.1,Vibrio gallaecicus,219,3
GCF_046532695.1,Vibrio alginolyticus,78,3
GCF_028898645.1,Vibrio harveyi,65,3
GCF_001996365.2,Vibrio parahaemolyticus,121,3
GCF_023169605.1,Vibrio alginolyticus,99,3
GCF_041734175.1,Vibrio anguillarum,187,3
GCF_009763745.1,Vibrio alginolyticus,63,3
GCF_000328405.1,Vibrio parahaemolyticus BB22OP,74,3
GCF_057439855.1,Vibrio coralliilyticus,56,3
GCF_045287955.1,Vibrio parahaemolyticus,141,3
GCF_025920025.1,Vibrio parahaemolyticus,70,3
GCF_029023705.1,Vibrio alginolyticus,174,3
GCF_059941785.1,Vibrio parahaemolyticus,54,3
GCF_030994565.1,Vibrio parahaemolyticus,149,3
GCF_023206515.1,Vibrio parahaemolyticus,97,3
GCF_025920045.1,Vibrio parahaemolyticus,42,3
GCF_023716845.1,Vibrio sp. SCSIO 43133,11,3
GCF_002850455.1,Vibrio vulnificus,284,3
GCF_057396045.1,Vibrio parahaemolyticus,132,3
GCF_002212005.1,Vibrio anguillarum,287,3
GCF_003691485.1,Vibrio campbellii,54,3
GCF_053890595.1,Vibrio proteolyticus,122,3
GCF_056934275.1,Vibrio parahaemolyticus,161,3
GCF_059910985.1,Vibrio sinaloensis,97,3
GCF_059692275.1,Vibrio parahaemolyticus,156,3
GCF_028898685.1,Vibrio harveyi,87,2
GCF_057418845.1,Salinivibrio costicola,10,2
GCF_003591575.1,Vibrio cholerae,87,2
GCF_023716665.1,Vibrio sp. SCSIO 43135,8,2
GCF_002149085.1,Vibrio alginolyticus,46,2
GCF_030291875.1,Vibrio parahaemolyticus,26,2
GCF_057626015.1,Vibrio harveyi,34,2
GCF_057439675.1,Vibrio owensii,33,2
GCF_013393865.1,Vibrio parahaemolyticus,161,2
GCF_001693615.1,Vibrio coralliilyticus,31,2
GCF_050710195.2,Vibrio campbellii,64,2
GCF_029541605.1,Vibrio coralliilyticus,41,2
GCF_001695575.2,Vibrio europaeus,39,2
GCF_021391375.1,Vibrio kanaloae,77,2
GCF_052805255.1,Vibrio campbellii,80,2
GCF_009763485.1,Vibrio cincinnatiensis,98,2
GCF_002872705.2,Vibrio cyclitrophicus,9,2
GCF_053220555.1,Vibrio cholerae,149,2
GCF_053220495.1,Vibrio cholerae,125,2
GCF_038695265.1,Vibrio tritonius,10,2
GCF_002214345.1,Vibrio mediterranei,20,2
GCF_009184745.1,Vibrio harveyi,118,2
GCF_009763225.1,Vibrio furnissii,61,2
GCF_009763665.1,Vibrio cholerae,88,2
GCF_024582835.1,Vibrio japonicus,102,2
GCF_023650915.1,Vibrio alginolyticus,119,2
GCF_003047125.1,Vibrio vulnificus Env1,247,2
GCF_009883855.1,Vibrio parahaemolyticus,69,2
GCF_030580635.1,Vibrio metoecus,212,2
GCF_057730825.1,Aliivibrio fischeri,50,2
GCF_054850435.1,Vibrio sp. RC2502,142,2
GCF_006517795.1,Vibrio parahaemolyticus,151,2
GCF_047497145.1,Vibrio alginolyticus,14,2
GCF_028898825.1,Vibrio harveyi,82,2
GCF_030316235.1,Vibrio furnissii,32,2
GCF_033100075.1,Vibrio parahaemolyticus,53,2
GCF_052806215.1,Vibrio parahaemolyticus,131,2
GCF_011306175.1,Vibrio sp. HDW18,63,2
GCF_057368555.1,Aliivibrio friggae,50,2
GCF_003522555.1,Vibrio vulnificus,227,2
GCF_009763905.1,Vibrio metoecus,168,2
GCF_026000435.1,Vibrio sp. STUT-A11,56,2
GCF_042691635.1,Vibrio harveyi,48,2
GCF_030064635.1,Vibrio parahaemolyticus,133,2
GCF_003726935.1,Vibrio mediterranei,6,2
GCF_013357885.1,Vibrio cholerae,88,2
GCF_002119585.1,Vibrio alginolyticus,46,2
GCF_014788305.1,Vibrio navarrensis,369,2
GCF_948151475.1,Vibrio campbellii,207,2
GCF_009883875.1,Vibrio parahaemolyticus,110,2
GCF_002874615.2,Vibrio cyclitrophicus,13,2
GCF_057785955.1,Vibrio sp. QJM3NY_27,6,2
GCF_057439875.1,Vibrio coralliilyticus,18,2
GCF_009938205.1,Vibrio panuliri,4,2
GCF_024346715.1,Photobacterium swingsii,11,2
GCF_009764115.1,Vibrio vulnificus,291,2
GCF_003076895.1,Vibrio parahaemolyticus,78,2
GCF_024442195.1,Vibrio campbellii,143,2
GCF_027924785.1,Vibrio nigripulchritudo,15,2
GCF_002149065.1,Vibrio alginolyticus,46,2
GCF_002149105.1,Vibrio alginolyticus,46,2
GCF_059682885.1,Vibrio harveyi,33,2
GCF_039658515.1,Vibrio parahaemolyticus,216,2
GCF_040412085.2,Vibrio chaetopteri,23,2
GCF_009764005.1,Vibrio mimicus,187,2
GCF_018135645.1,Vibrio parahaemolyticus,70,2
GCF_028898745.1,Vibrio harveyi,78,2
GCF_003613035.1,Vibrio alginolyticus,46,2
GCF_009763845.1,Vibrio alginolyticus,59,2
GCF_056531025.1,Vibrio diabolicus,19,2
GCF_024347535.1,Vibrio kanaloae,114,2
