family,n_genomes,n_species,n_proteins
GCF_000011805.1|NC_006841.2|NC_006841.2_658,1,1,1
GCF_000011805.1|NC_006841.2|NC_006841.2_661,1,1,1
GCF_000011805.1|NC_006841.2|NC_006841.2_662,1,1,1
GCF_000011805.1|NC_006841.2|NC_006841.2_669,10,5,18
GCF_000011805.1|NC_006841.2|NC_006841.2_671,1,1,1
GCF_000011805.1|NC_006841.2|NC_006841.2_672,10,3,10
GCF_000011805.1|NC_006842.1|NC_006842.1_27,1,1,1
GCF_000011805.1|NC_006842.1|NC_006842.1_28,1,1,1
GCF_000011805.1|NC_006842.1|NC_006842.1_29,1,1,1
GCF_000011805.1|NC_006842.1|NC_006842.1_30,1,1,1
GCF_000011805.1|NC_006842.1|NC_006842.1_31,1,1,1
GCF_000011805.1|NC_006842.1|NC_006842.1_32,1,1,1
GCF_000011805.1|NC_006842.1|NC_006842.1_33,1,1,1
GCF_000011805.1|NC_006842.1|NC_006842.1_34,1,1,1
GCF_000011805.1|NC_006842.1|NC_006842.1_35,1,1,1
GCF_000011805.1|NC_006842.1|NC_006842.1_36,1,1,1
GCF_000011805.1|NC_006842.1|NC_006842.1_37,1,1,1
GCF_001908435.2|NZ_CP018680.2|NZ_CP018680.2_1041,38,13,44
GCF_001908435.2|NZ_CP018680.2|NZ_CP018680.2_1043,9,5,9
GCF_001908435.2|NZ_CP018680.2|NZ_CP018680.2_1048,44,10,50
GCF_001908435.2|NZ_CP018680.2|NZ_CP018680.2_1050,9,1,9
GCF_001908435.2|NZ_CP018680.2|NZ_CP018680.2_1051,1,1,1
GCF_001908435.2|NZ_CP018680.2|NZ_CP018680.2_1052,1,1,1
GCF_001908435.2|NZ_CP018680.2|NZ_CP018680.2_1055,15,6,15
GCF_001908435.2|NZ_CP018680.2|NZ_CP018680.2_1059,12,5,15
GCF_001908435.2|NZ_CP018680.2|NZ_CP018680.2_1067,3,2,3
GCF_001908435.2|NZ_CP018680.2|NZ_CP018680.2_1069,1,1,1
GCF_001908435.2|NZ_CP018680.2|NZ_CP018680.2_1082,4,4,5
GCF_001908435.2|NZ_CP018680.2|NZ_CP018680.2_1084,2,2,2
GCF_001908435.2|NZ_CP018680.2|NZ_CP018680.2_1091,6,2,6
GCF_001908435.2|NZ_CP018680.2|NZ_CP018680.2_1097,17,6,25
GCF_001908435.2|NZ_CP018680.2|NZ_CP018680.2_1100,6,5,6
GCF_001908435.2|NZ_CP018680.2|NZ_CP018680.2_1105,2,2,3
GCF_001908435.2|NZ_CP018680.2|NZ_CP018680.2_1106,7,5,7
GCF_001908435.2|NZ_CP018680.2|NZ_CP018680.2_1107,3,2,4
GCF_001969325.1|NZ_CP019293.1|NZ_CP019293.1_1211,4,3,4
GCF_001969325.1|NZ_CP019293.1|NZ_CP019293.1_1212,4,2,4
GCF_001969325.1|NZ_CP019293.1|NZ_CP019293.1_1213,11,2,11
GCF_001969325.1|NZ_CP019293.1|NZ_CP019293.1_1214,11,2,11
GCF_001969325.1|NZ_CP019293.1|NZ_CP019293.1_1217,3,2,3
GCF_001969325.1|NZ_CP019293.1|NZ_CP019293.1_1227,4,1,4
GCF_001969325.1|NZ_CP019293.1|NZ_CP019293.1_1231,3,1,3
GCF_001969325.1|NZ_CP019293.1|NZ_CP019293.1_1234,4,2,4
GCF_001969325.1|NZ_CP019293.1|NZ_CP019293.1_1236,42,12,42
GCF_001969325.1|NZ_CP019293.1|NZ_CP019293.1_1240,4,1,4
GCF_001969325.1|NZ_CP019293.1|NZ_CP019293.1_1241,9,4,10
GCF_001969325.1|NZ_CP019293.1|NZ_CP019293.1_1243,4,1,4
GCF_001969325.1|NZ_CP019293.1|NZ_CP019293.1_1244,11,4,11
GCF_001969325.1|NZ_CP019293.1|NZ_CP019293.1_1246,3,2,3
GCF_001969325.1|NZ_CP019293.1|NZ_CP019293.1_1247,7,2,7
GCF_001969325.1|NZ_CP019293.1|NZ_CP019293.1_1248,8,2,8
GCF_001969325.1|NZ_CP019293.1|NZ_CP019293.1_1262,13,4,13
GCF_001969325.1|NZ_CP019293.1|NZ_CP019293.1_1268,4,2,4
GCF_001969325.1|NZ_CP019293.1|NZ_CP019293.1_1271,13,3,13
GCF_001969325.1|NZ_CP019293.1|NZ_CP019293.1_1278,8,4,8
GCF_001969325.1|NZ_CP019293.1|NZ_CP019293.1_1281,28,10,34
GCF_001969325.1|NZ_CP019293.1|NZ_CP019293.1_1282,5,2,5
GCF_001969325.1|NZ_CP019293.1|NZ_CP019293.1_1285,10,2,10
GCF_001969325.1|NZ_CP019293.1|NZ_CP019293.1_1287,3,1,3
GCF_001969325.1|NZ_CP019293.1|NZ_CP019293.1_1294,7,4,7
GCF_001969325.1|NZ_CP019293.1|NZ_CP019293.1_1295,4,1,4
GCF_001969325.1|NZ_CP019293.1|NZ_CP019293.1_1296,4,1,4
GCF_001969325.1|NZ_CP019293.1|NZ_CP019293.1_1298,4,1,4
GCF_001969325.1|NZ_CP019293.1|NZ_CP019293.1_1303,7,2,7
GCF_001995825.2|NZ_CP065150.1|NZ_CP065150.1_2277,1,1,1
GCF_001995825.2|NZ_CP065150.1|NZ_CP065150.1_2278,11,6,11
GCF_002212025.1|NZ_CP022104.1|NZ_CP022104.1_341,8,7,8
GCF_002212025.1|NZ_CP022104.1|NZ_CP022104.1_344,1,1,1
GCF_002212025.1|NZ_CP022104.1|NZ_CP022104.1_348,2,2,2
GCF_002212025.1|NZ_CP022104.1|NZ_CP022104.1_349,1,1,1
GCF_002212025.1|NZ_CP022104.1|NZ_CP022104.1_353,1,1,1
GCF_002212025.1|NZ_CP022104.1|NZ_CP022104.1_354,4,4,4
GCF_002212025.1|NZ_CP022104.1|NZ_CP022104.1_358,1,1,1
GCF_002212025.1|NZ_CP022104.1|NZ_CP022104.1_359,1,1,1
GCF_002212025.1|NZ_CP022104.1|NZ_CP022104.1_360,1,1,1
GCF_002212025.1|NZ_CP022104.1|NZ_CP022104.1_362,3,3,3
GCF_002212025.1|NZ_CP022104.1|NZ_CP022104.1_366,1,1,1
GCF_002212025.1|NZ_CP022104.1|NZ_CP022104.1_375,1,1,1
GCF_002212025.1|NZ_CP022104.1|NZ_CP022104.1_378,1,1,1
GCF_002212025.1|NZ_CP022104.1|NZ_CP022104.1_379,1,1,1
GCF_002212025.1|NZ_CP022104.1|NZ_CP022104.1_384,10,5,10
GCF_002212025.1|NZ_CP022104.1|NZ_CP022104.1_394,1,1,1
GCF_002212025.1|NZ_CP022104.1|NZ_CP022104.1_403,1,1,1
GCF_002212025.1|NZ_CP022104.1|NZ_CP022104.1_407,1,1,1
GCF_002212025.1|NZ_CP022104.1|NZ_CP022104.1_409,2,1,2
GCF_002212025.1|NZ_CP022104.1|NZ_CP022104.1_412,21,5,28
GCF_002212025.1|NZ_CP022104.1|NZ_CP022104.1_417,1,1,1
GCF_002212025.1|NZ_CP022104.1|NZ_CP022104.1_418,25,8,31
GCF_002212025.1|NZ_CP022104.1|NZ_CP022104.1_422,2,2,2
GCF_002212025.1|NZ_CP022104.1|NZ_CP022104.1_424,2,2,2
GCF_002212025.1|NZ_CP022104.1|NZ_CP022104.1_426,9,7,11
GCF_002212025.1|NZ_CP022104.1|NZ_CP022104.1_435,7,4,7
GCF_002257545.1|NZ_CP022742.1|NZ_CP022742.1_566,1,1,1
GCF_002257545.1|NZ_CP022742.1|NZ_CP022742.1_578,1,1,6
GCF_002257545.1|NZ_CP022742.1|NZ_CP022742.1_582,2,2,4
GCF_002257545.1|NZ_CP022742.1|NZ_CP022742.1_584,2,2,2
GCF_002257545.1|NZ_CP022742.1|NZ_CP022742.1_586,1,1,1
GCF_002257545.1|NZ_CP022742.1|NZ_CP022742.1_590,1,1,1
GCF_002257545.1|NZ_CP022742.1|NZ_CP022742.1_591,1,1,1
GCF_002257545.1|NZ_CP022742.1|NZ_CP022742.1_592,5,4,5
GCF_002257545.1|NZ_CP022742.1|NZ_CP022742.1_597,6,2,7
GCF_002257545.1|NZ_CP022742.1|NZ_CP022742.1_600,1,1,1
GCF_002257545.1|NZ_CP022742.1|NZ_CP022742.1_602,1,1,1
GCF_002257545.1|NZ_CP022742.1|NZ_CP022742.1_604,1,1,1
GCF_002257545.1|NZ_CP022742.1|NZ_CP022742.1_605,1,1,1
GCF_002257545.1|NZ_CP022742.1|NZ_CP022742.1_606,1,1,1
GCF_002257545.1|NZ_CP022742.1|NZ_CP022742.1_607,1,1,1
GCF_002257545.1|NZ_CP022742.1|NZ_CP022742.1_608,1,1,1
GCF_002257545.1|NZ_CP022742.1|NZ_CP022742.1_611,1,1,1
GCF_002257545.1|NZ_CP022742.1|NZ_CP022742.1_627,1,1,1
GCF_002257545.1|NZ_CP022742.1|NZ_CP022742.1_634,1,1,1
GCF_002257545.1|NZ_CP022742.1|NZ_CP022742.1_637,1,1,1
GCF_002257545.1|NZ_CP022742.1|NZ_CP022742.1_643,1,1,1
GCF_002257545.1|NZ_CP022742.1|NZ_CP022742.1_644,4,4,4
GCF_002257545.1|NZ_CP022742.1|NZ_CP022742.1_645,1,1,1
GCF_002257545.1|NZ_CP022742.1|NZ_CP022742.1_646,1,1,1
GCF_002257545.1|NZ_CP022742.1|NZ_CP022742.1_654,5,2,5
GCF_002257545.1|NZ_CP022742.1|NZ_CP022742.1_656,1,1,1
GCF_002257545.1|NZ_CP022742.1|NZ_CP022742.1_657,1,1,1
GCF_002287545.1|NZ_CP023055.1|NZ_CP023055.1_499,3,2,3
GCF_002287545.1|NZ_CP023055.1|NZ_CP023055.1_619,4,3,4
GCF_002287545.1|NZ_CP023055.1|NZ_CP023055.1_632,3,2,3
GCF_002287545.1|NZ_CP023055.1|NZ_CP023055.1_633,3,2,3
GCF_002287545.1|NZ_CP023055.1|NZ_CP023055.1_640,5,4,5
GCF_002290245.2|NZ_CP023248.2|NZ_CP023248.2_1096,8,1,8
GCF_002290245.2|NZ_CP023248.2|NZ_CP023248.2_1099,16,2,16
GCF_002290245.2|NZ_CP023248.2|NZ_CP023248.2_1103,11,2,11
GCF_002290245.2|NZ_CP023248.2|NZ_CP023248.2_1104,6,2,6
GCF_002290245.2|NZ_CP023248.2|NZ_CP023248.2_1106,7,1,7
GCF_002290245.2|NZ_CP023248.2|NZ_CP023248.2_1108,7,1,7
GCF_002290245.2|NZ_CP023248.2|NZ_CP023248.2_1110,8,2,8
GCF_002290245.2|NZ_CP023248.2|NZ_CP023248.2_1161,6,2,6
GCF_002310335.1|NZ_CP023311.1|NZ_CP023311.1_624,1,1,1
GCF_002310335.1|NZ_CP023311.1|NZ_CP023311.1_676,1,1,2
GCF_002310335.1|NZ_CP023311.1|NZ_CP023311.1_685,1,1,1
GCF_002310335.1|NZ_CP023311.1|NZ_CP023311.1_687,3,3,6
GCF_002310335.1|NZ_CP023311.1|NZ_CP023311.1_694,1,1,1
GCF_002310335.1|NZ_CP023311.1|NZ_CP023311.1_697,1,1,1
GCF_002310335.1|NZ_CP023311.1|NZ_CP023311.1_698,1,1,1
GCF_002310335.1|NZ_CP023311.1|NZ_CP023311.1_711,15,5,19
GCF_002310335.1|NZ_CP023311.1|NZ_CP023311.1_729,2,2,2
GCF_002310335.1|NZ_CP023311.1|NZ_CP023311.1_737,1,1,1
GCF_002310335.1|NZ_CP023311.1|NZ_CP023311.1_739,1,1,1
GCF_002310335.1|NZ_CP023311.1|NZ_CP023311.1_742,1,1,1
GCF_002310335.1|NZ_CP023311.1|NZ_CP023311.1_744,1,1,1
GCF_002310335.1|NZ_CP023311.1|NZ_CP023311.1_746,1,1,1
GCF_002310335.1|NZ_CP023311.1|NZ_CP023311.1_755,1,1,1
GCF_002310335.1|NZ_CP023311.1|NZ_CP023311.1_758,1,1,1
GCF_002310335.1|NZ_CP023311.1|NZ_CP023311.1_763,1,1,1
GCF_002310335.1|NZ_CP023311.1|NZ_CP023311.1_766,1,1,1
GCF_002850455.1|NZ_CP019320.1|NZ_CP019320.1_1835,11,3,14
GCF_002850455.1|NZ_CP019320.1|NZ_CP019320.1_1836,4,3,7
GCF_002850455.1|NZ_CP019320.1|NZ_CP019320.1_1842,1,1,1
GCF_002850455.1|NZ_CP019320.1|NZ_CP019320.1_1848,1,1,1
GCF_002850455.1|NZ_CP019320.1|NZ_CP019320.1_1859,1,1,1
GCF_002850455.1|NZ_CP019320.1|NZ_CP019320.1_1864,16,5,18
GCF_002850455.1|NZ_CP019320.1|NZ_CP019320.1_1866,1,1,1
GCF_002850455.1|NZ_CP019320.1|NZ_CP019320.1_1871,1,1,1
GCF_002850455.1|NZ_CP019320.1|NZ_CP019320.1_1878,3,3,3
GCF_002850455.1|NZ_CP019320.1|NZ_CP019320.1_1890,2,1,3
GCF_002850455.1|NZ_CP019320.1|NZ_CP019320.1_1906,10,4,10
GCF_002850455.1|NZ_CP019320.1|NZ_CP019320.1_1907,1,1,1
GCF_002850455.1|NZ_CP019320.1|NZ_CP019320.1_1908,13,8,14
GCF_002850455.1|NZ_CP019320.1|NZ_CP019320.1_1924,1,1,2
GCF_002850455.1|NZ_CP019320.1|NZ_CP019320.1_1926,1,1,1
GCF_002850455.1|NZ_CP019320.1|NZ_CP019320.1_1933,7,3,8
GCF_002873745.2|NZ_CP170015.1|NZ_CP170015.1_1161,1,1,1
GCF_002873745.2|NZ_CP170015.1|NZ_CP170015.1_1165,1,1,1
GCF_002873745.2|NZ_CP170015.1|NZ_CP170015.1_1166,1,1,1
GCF_002873745.2|NZ_CP170015.1|NZ_CP170015.1_1171,2,2,2
GCF_002873745.2|NZ_CP170016.1|NZ_CP170016.1_1279,6,3,6
GCF_002873745.2|NZ_CP170016.1|NZ_CP170016.1_1282,3,3,3
GCF_002873825.2|NZ_CP170013.1|NZ_CP170013.1_1360,1,1,1
GCF_002873825.2|NZ_CP170013.1|NZ_CP170013.1_1361,1,1,1
GCF_002873825.2|NZ_CP170013.1|NZ_CP170013.1_1364,1,1,1
GCF_002873825.2|NZ_CP170013.1|NZ_CP170013.1_1366,2,2,2
GCF_002873825.2|NZ_CP170014.1|NZ_CP170014.1_215,6,3,6
GCF_002873935.2|NZ_CP170011.1|NZ_CP170011.1_1232,1,1,1
GCF_002873935.2|NZ_CP170011.1|NZ_CP170011.1_1234,1,1,1
GCF_002873935.2|NZ_CP170011.1|NZ_CP170011.1_1236,1,1,1
GCF_002873935.2|NZ_CP170011.1|NZ_CP170011.1_1238,2,2,2
GCF_002873935.2|NZ_CP170011.1|NZ_CP170011.1_1242,1,1,1
GCF_002873935.2|NZ_CP170011.1|NZ_CP170011.1_1519,2,2,2
GCF_002873935.2|NZ_CP170011.1|NZ_CP170011.1_1520,5,3,5
GCF_002874015.2|NZ_CP170001.1|NZ_CP170001.1_485,2,2,2
GCF_002874015.2|NZ_CP170001.1|NZ_CP170001.1_488,2,1,2
GCF_002874015.2|NZ_CP170001.1|NZ_CP170001.1_490,1,1,1
GCF_002874035.2|NZ_CP169999.1|NZ_CP169999.1_3,1,1,1
GCF_002874035.2|NZ_CP169999.1|NZ_CP169999.1_4,1,1,1
GCF_002874615.2|NZ_CP170017.1|NZ_CP170017.1_180,6,3,7
GCF_002874615.2|NZ_CP170017.1|NZ_CP170017.1_494,1,1,1
GCF_002874615.2|NZ_CP170017.1|NZ_CP170017.1_496,1,1,1
GCF_002875015.2|NZ_CP170046.1|NZ_CP170046.1_2047,1,1,1
GCF_002875015.2|NZ_CP170046.1|NZ_CP170046.1_2052,2,1,2
GCF_002875015.2|NZ_CP170046.1|NZ_CP170046.1_2058,2,2,2
GCF_002875015.2|NZ_CP170046.1|NZ_CP170046.1_2232,2,1,2
GCF_002875015.2|NZ_CP170047.1|NZ_CP170047.1_1196,1,1,1
GCF_002875465.2|NZ_CP170034.1|NZ_CP170034.1_1953,1,1,1
GCF_002875465.2|NZ_CP170034.1|NZ_CP170034.1_1954,1,1,1
GCF_002875465.2|NZ_CP170034.1|NZ_CP170034.1_1955,13,7,13
GCF_002875465.2|NZ_CP170034.1|NZ_CP170034.1_1956,1,1,1
GCF_002875465.2|NZ_CP170034.1|NZ_CP170034.1_1957,2,2,2
GCF_002875465.2|NZ_CP170034.1|NZ_CP170034.1_2240,2,1,2
GCF_002876425.2|NZ_CP170031.1|NZ_CP170031.1_2362,2,1,2
GCF_002876425.2|NZ_CP170031.1|NZ_CP170031.1_2365,6,2,6
GCF_002887615.1|NZ_CP025792.1|NZ_CP025792.1_47,1,1,1
GCF_002887615.1|NZ_CP025792.1|NZ_CP025792.1_50,1,1,1
GCF_002887615.1|NZ_CP025792.1|NZ_CP025792.1_51,1,1,1
GCF_002887615.1|NZ_CP025792.1|NZ_CP025792.1_56,5,5,5
GCF_002906655.1|NZ_CP025794.1|NZ_CP025794.1_68,1,1,1
GCF_002906655.1|NZ_CP025794.1|NZ_CP025794.1_69,11,6,11
GCF_002906655.1|NZ_CP025794.1|NZ_CP025794.1_71,4,3,4
GCF_002906655.1|NZ_CP025794.1|NZ_CP025794.1_72,1,1,1
GCF_002906655.1|NZ_CP025794.1|NZ_CP025794.1_73,1,1,1
GCF_002906655.1|NZ_CP025794.1|NZ_CP025794.1_74,1,1,1
GCF_002906655.1|NZ_CP025794.1|NZ_CP025794.1_76,1,1,1
GCF_002906655.1|NZ_CP025794.1|NZ_CP025794.1_77,5,4,5
GCF_002906655.1|NZ_CP025794.1|NZ_CP025794.1_78,4,3,4
GCF_002906655.1|NZ_CP025794.1|NZ_CP025794.1_81,1,1,1
GCF_002906655.1|NZ_CP025794.1|NZ_CP025794.1_82,1,1,1
GCF_002906655.1|NZ_CP025794.1|NZ_CP025794.1_89,4,2,5
GCF_002906655.1|NZ_CP025794.1|NZ_CP025794.1_94,1,1,1
GCF_002906655.1|NZ_CP025794.1|NZ_CP025794.1_96,3,3,3
GCF_002906655.1|NZ_CP025794.1|NZ_CP025794.1_97,3,3,4
GCF_002906655.1|NZ_CP025794.1|NZ_CP025794.1_99,1,1,1
GCF_002906655.1|NZ_CP025794.1|NZ_CP025794.1_100,1,1,1
GCF_002906655.1|NZ_CP025794.1|NZ_CP025794.1_106,1,1,1
GCF_002906655.1|NZ_CP025794.1|NZ_CP025794.1_110,9,4,9
GCF_002906655.1|NZ_CP025794.1|NZ_CP025794.1_111,1,1,1
GCF_002906655.1|NZ_CP025794.1|NZ_CP025794.1_113,1,1,1
GCF_002906655.1|NZ_CP025794.1|NZ_CP025794.1_118,2,2,2
GCF_002906655.1|NZ_CP025794.1|NZ_CP025794.1_119,1,1,1
GCF_002906655.1|NZ_CP025794.1|NZ_CP025794.1_122,10,5,10
GCF_002906655.1|NZ_CP025794.1|NZ_CP025794.1_127,1,1,1
GCF_002906655.1|NZ_CP025794.1|NZ_CP025794.1_129,2,2,2
GCF_002906655.1|NZ_CP025794.1|NZ_CP025794.1_136,16,7,18
GCF_002906655.1|NZ_CP025794.1|NZ_CP025794.1_139,1,1,1
GCF_002906655.1|NZ_CP025794.1|NZ_CP025794.1_140,2,2,2
GCF_002906655.1|NZ_CP025794.1|NZ_CP025794.1_141,15,6,16
GCF_002906655.1|NZ_CP025794.1|NZ_CP025794.1_155,1,1,1
GCF_002906655.1|NZ_CP025794.1|NZ_CP025794.1_163,1,1,1
GCF_002906655.1|NZ_CP025794.1|NZ_CP025794.1_165,136,29,154
GCF_002953535.1|NZ_CP014040.1|NZ_CP014040.1_1557,5,3,5
GCF_002953535.1|NZ_CP014040.1|NZ_CP014040.1_1560,4,2,5
GCF_002953535.1|NZ_CP014040.1|NZ_CP014040.1_1561,14,5,15
GCF_002953535.1|NZ_CP014040.1|NZ_CP014040.1_1574,9,4,10
GCF_002953535.1|NZ_CP014040.1|NZ_CP014040.1_1580,4,2,5
GCF_002953535.1|NZ_CP014040.1|NZ_CP014040.1_1583,3,2,3
GCF_002953535.1|NZ_CP014040.1|NZ_CP014040.1_1584,158,22,226
GCF_002953535.1|NZ_CP014040.1|NZ_CP014040.1_1595,5,2,5
GCF_002953535.1|NZ_CP014040.1|NZ_CP014040.1_1599,1,1,1
GCF_002953535.1|NZ_CP014040.1|NZ_CP014040.1_1601,4,2,4
GCF_002953535.1|NZ_CP014040.1|NZ_CP014040.1_1607,4,2,4
GCF_002953535.1|NZ_CP014040.1|NZ_CP014040.1_1611,16,9,19
GCF_002953535.1|NZ_CP014040.1|NZ_CP014040.1_1615,111,18,116
GCF_002953535.1|NZ_CP014040.1|NZ_CP014040.1_1620,3,2,3
GCF_002953535.1|NZ_CP014040.1|NZ_CP014040.1_1624,9,4,9
GCF_002953535.1|NZ_CP014040.1|NZ_CP014040.1_1682,3,2,3
GCF_002953535.1|NZ_CP014040.1|NZ_CP014040.1_1687,1,1,1
GCF_003312585.1|NZ_CP030788.1|NZ_CP030788.1_1540,6,4,6
GCF_003312585.1|NZ_CP030788.1|NZ_CP030788.1_1542,5,4,5
GCF_003312585.1|NZ_CP030788.1|NZ_CP030788.1_1543,3,1,4
GCF_003312585.1|NZ_CP030788.1|NZ_CP030788.1_1544,7,4,7
GCF_003312585.1|NZ_CP030788.1|NZ_CP030788.1_1546,3,2,3
GCF_003312585.1|NZ_CP030788.1|NZ_CP030788.1_1547,4,4,4
GCF_003312585.1|NZ_CP030788.1|NZ_CP030788.1_1676,4,3,4
GCF_003312585.1|NZ_CP030788.1|NZ_CP030788.1_1732,12,7,14
GCF_003312585.1|NZ_CP030788.1|NZ_CP030788.1_1741,2,2,2
GCF_003312585.1|NZ_CP030788.1|NZ_CP030788.1_1745,1,1,1
GCF_003312585.1|NZ_CP030788.1|NZ_CP030788.1_1749,4,2,4
GCF_003312585.1|NZ_CP030789.1|NZ_CP030789.1_308,4,2,5
GCF_003312585.1|NZ_CP030789.1|NZ_CP030789.1_310,3,2,3
GCF_003312585.1|NZ_CP030789.1|NZ_CP030789.1_311,6,3,7
GCF_003312585.1|NZ_CP030789.1|NZ_CP030789.1_1006,1,1,1
GCF_003312585.1|NZ_CP030789.1|NZ_CP030789.1_1011,1,1,1
GCF_003312585.1|NZ_CP030789.1|NZ_CP030789.1_1523,23,5,24
GCF_003312585.1|NZ_CP030789.1|NZ_CP030789.1_1534,2,2,2
GCF_003595585.1|NZ_CP022469.1|NZ_CP022469.1_790,1,1,1
GCF_003595585.1|NZ_CP022469.1|NZ_CP022469.1_793,1,1,1
GCF_003595585.1|NZ_CP022469.1|NZ_CP022469.1_794,1,1,1
GCF_003595585.1|NZ_CP022469.1|NZ_CP022469.1_795,1,1,1
GCF_003595585.1|NZ_CP022469.1|NZ_CP022469.1_804,2,2,2
GCF_003595585.1|NZ_CP022469.1|NZ_CP022469.1_805,1,1,1
GCF_003595585.1|NZ_CP022469.1|NZ_CP022469.1_806,1,1,1
GCF_003595585.1|NZ_CP022469.1|NZ_CP022469.1_807,10,8,11
GCF_003595585.1|NZ_CP022469.1|NZ_CP022469.1_833,1,1,1
GCF_003595585.1|NZ_CP022469.1|NZ_CP022469.1_834,1,1,1
GCF_003595585.1|NZ_CP022469.1|NZ_CP022469.1_839,1,1,1
GCF_003595585.1|NZ_CP022469.1|NZ_CP022469.1_841,1,1,1
GCF_003595585.1|NZ_CP022469.1|NZ_CP022469.1_843,3,3,4
GCF_003595585.1|NZ_CP022469.1|NZ_CP022469.1_846,3,3,3
